Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Parcel
2505 Mariposa St,,2505 MARIPOSA ST,San Francisco,San Francisco,CA,94110,37.763123,-122.408707,14000,,,2014,,,,,,,,,,4015/006
KQED,,2601 MARIPOSA ST,San Francisco,San Francisco,CA,94110,37.763071,-122.409756,113334,,,2014,,,,,,,,,,4016/001
580 YORK ST,,580 YORK ST,San Francisco,San Francisco,CA,94110,37.762072,-122.409194,17510,,,2014,,,,,,,,,,4016/002
2727 Mariposa St.,,2727 Mariposa St.,San Francisco,San Francisco,CA,94110,37.763033,-122.410461,34927,,,2014,,,,,,,,,,4017/002
1940 Bryant St.,,1940 Bryant St.,San Francisco,San Francisco,CA,94110,37.762517,-122.410188,95267,,,2014,,,,,,,,,,4017/003
1900 BRYANT ST,,1900 BRYANT ST,San Francisco,San Francisco,CA,94110,37.762667,-122.410203,41500,,,2014,,,,,,,,,,4017/005
501 ALABAMA ST,,501 ALABAMA ST,San Francisco,San Francisco,CA,94110,37.762455,-122.412113,15050,,,2014,,,,,,,,,,4018/005
2175 HARRISON ST,,2175 HARRISON ST,San Francisco,San Francisco,CA,94110,37.762169,-122.412827,11824,,,2014,,151.4,287.8,147.2,274.7,,,115.8,,4019/002
600 ALABAMA ST,,600 ALABAMA ST,San Francisco,San Francisco,CA,94110,37.761481,-122.412015,12400,,,2014,,,,,,,,,,4020/001
650 Alabama LLC,,612 ALABAMA ST,San Francisco,San Francisco,CA,94110,37.760937,-122.411971,91619,,,2014,,59,152.9,60.7,154.7,,,350,,4020/002
Left Space Studios,,2055 BRYANT ST,San Francisco,San Francisco,CA,94110,37.7611,-122.41005,15000,,,2014,91,27.7,68.3,27.7,68.3,,,30.1,,4023/003
660 York,,2700 19TH ST,San Francisco,San Francisco,CA,94110,37.760519,-122.40934,21000,,,2014,,,,,,,,,,4023/004
2750 19TH ST,,2750 19TH ST,San Francisco,San Francisco,CA,94110,37.760496,-122.40968,10934,,,2014,,14,34.9,14,34.9,,,11.1,,4023/004A
2001 Bryant Street,,2001 BRYANT ST,San Francisco,San Francisco,CA,94110,37.761508,-122.41009,14700,,,2014,99,24.5,51.1,29.9,56.7,,,24.2,,4023/005
Marco Fine Furniture,,650 POTRERO AVE,San Francisco,San Francisco,CA,94110,37.761207,-122.40712,24004,,,2014,,13.1,22.8,13.1,22.8,,,19.6,,4025/003A
690 POTRERO AVE,,690 POTRERO AVE,San Francisco,San Francisco,CA,94110,37.760899,-122.407092,16000,,,2014,,,,,,,,,,4025/003B
654 MINNESOTA ST,,654 MINNESOTA ST,San Francisco,San Francisco,CA,94107,37.762013,-122.390599,64000,,,2014,,,,,,,,,,4042/003
