Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Parcel
2801 Leavenworth Street,,2801 LEAVENWORTH ST,San Francisco,San Francisco,CA,94109,,,133675,,,2014,56,73.4,158.5,77.1,162.4,,,668.9,,0010/001
Argonaut Hotel-SV,,495 Jefferson St,San Francisco,San Francisco,CA,94109,37.807624,-122.420563,180450,,,2014,79,63.6,129.5,63.6,129.5,,,763.1,,0010/002
Anchorage Office,,2800 LEAVENWORTH ST,San Francisco,San Francisco,CA,94133,37.807299,-122.418972,121408,,,2014,,73.8,173.3,73.8,173.3,,,634.3,,0011/007
Anchorage Garage,,500 BEACH ST,San Francisco,San Francisco,CA,94133,37.807022,-122.417713,198525,,,2014,,27.5,76.9,27.5,76.9,,,419.6,,0011/008
211 Jefferson St,,2739 TAYLOR ST,San Francisco,San Francisco,CA,94133,37.807895,-122.415742,40052,,,2014,,,,,,,,,,0012/001
DiMaggio Building,,243 JEFFERSON ST,San Francisco,San Francisco,CA,94133,37.808125,-122.4165,17311,,,2014,,285.3,579.9,282.5,571.3,,,328.3,,0012/007A
Savoy Corporation,,2720 TAYLOR ST,San Francisco,San Francisco,CA,94133,37.807512,-122.415665,46962,,,2014,38,64.1,177,65.8,178.8,,,229.9,,0013/005
2770 TAYLOR ST,,2770 TAYLOR ST,San Francisco,San Francisco,CA,94133,37.807889,-122.415741,40017,,,2014,,,,,,,,,,0013/006
2601 MASON ST,,2601 MASON ST,San Francisco,San Francisco,CA,94133,37.807749,-122.414034,15882,,,2014,,,,,,,,,,0013/009
The Way Museum Building,,145 Jefferson St.,San Francisco,San Francisco,CA,94133,37.808359,-122.414638,121481,,,2014,,119,305.5,116.2,296.9,,,1066.1,,0013/016
Radisson Fisherman's Wharf,,250 Beach Street,San Francisco,San Francisco,CA,94133,37.807578,-122.413296,254184,,,2014,,,,,,,,,,0014/001
Publicis,,2001 The Embarcadero,San Francisco,San Francisco,CA,94133,37.807431,-122.40743,118196,,,2014,66,83.2,189.1,81.5,183.8,,,685.8,,0017/002
One Beach Street,,1 BEACH ST,San Francisco,San Francisco,CA,94133,37.807995,-122.409984,97614,,,2014,92,50.4,116,50.4,116,,,345.1,,0018/001
"2300 Stockton Street, LLC",,2340 STOCKTON ST,San Francisco,San Francisco,CA,94133,37.807398,-122.410602,59530,,,2014,,33.4,56.8,37.5,61.1,,,92.1,,0018/004
100 NORTH POINT ST,,100 NORTH POINT ST,San Francisco,San Francisco,CA,94133,37.8071,-122.409465,60000,,,2014,71,92.3,205.2,94.4,204.7,,,382.4,,0018/005
211 BEACH ST,,211 BEACH ST,San Francisco,San Francisco,CA,94133,37.807595,-122.413157,229394,,,2014,,,,,,,,,,0020/001
400 NORTH POINT ST,,400 NORTH POINT ST,San Francisco,San Francisco,CA,94133,37.806452,-122.414645,31656,,,2014,,,,,,,,,,0021/001
15571-HI SF Fisherman's Wharf Annex,,475 BEACH ST,San Francisco,San Francisco,CA,94133,37.807125,-122.416904,126250,,,2014,70,64.8,147.3,64.8,147.3,,,570.5,,0022/010
580 NORTH POINT ST,,580 NORTH POINT ST,San Francisco,San Francisco,CA,94133,37.806186,-122.416746,24022,,,2014,,,,,,,,,,0022/012
Holiday Inn Express ? Fisherman?s Wharf,,455 BEACH ST,San Francisco,San Francisco,CA,94133,37.807191,-122.416395,164650,,,2014,39,59.7,136.7,60,134.4,,,556.2,,0022/015
Euro Properties,,505 BEACH ST,San Francisco,San Francisco,CA,94133,37.807034,-122.417619,21630,,,2014,,104.9,203.4,112.7,211.6,,,148,,0023/002
555 BEACH ST,,555 BEACH ST,San Francisco,San Francisco,CA,94133,37.806977,-122.418069,15706,,,2014,,,,,,,,,,0023/003
15571-HI SF Fisherman's Wharf,,1300 COLUMBUS AVE,San Francisco,San Francisco,CA,94133,37.806009,-122.418431,154400,,,2014,74,82.6,175.5,84.5,181.5,,,863.9,,0023/005
"Hyde Hill Holdings, L.P.",,2744 HYDE ST,San Francisco,San Francisco,CA,94109,37.806196,-122.420468,28800,,,2014,,,,,,,,,,0024/012
655 Beach St.,,2750 HYDE ST,San Francisco,San Francisco,CA,94109,37.806385,-122.420507,57610,,,2014,,,,,,,,,,0024/025
3040 LARKIN ST,,3040 LARKIN ST,San Francisco,San Francisco,CA,94109,37.806155,-122.422149,14198,,,2014,,63.8,117.9,74.1,128.8,,,57.9,,0025/012
781 Beach Street,,781 BEACH ST,San Francisco,San Francisco,CA,94109,37.806521,-122.421743,32776,,,2014,,28.2,70.4,30.7,73,,,67.3,,0025/014
737 BEACH ST,,737 BEACH ST,San Francisco,San Francisco,CA,94109,37.806597,-122.421149,10450,,,2014,88,31.7,59.1,39.2,68.7,,,21.3,,0025/021
SFOFW,,1250 COLUMBUS AVE,San Francisco,San Francisco,CA,94133,37.805552,-122.417773,204392,,,2014,68,61.8,143.4,61.8,143.4,,,889,,0028/009
1215 COLUMBUS AVE,,1215 COLUMBUS AVE,San Francisco,San Francisco,CA,94133,37.805712,-122.418004,19656,,,2014,,,,,,,,,,0028/014
2620 Jones St,,590 BAY ST,San Francisco,San Francisco,CA,94133,37.80528,-122.416327,166777,,,2014,86,56.1,134.4,56.1,134.4,,,542.8,,0029/003
Hyatt Fisherman's Wharf,,555 NORTH POINT ST,San Francisco,San Francisco,CA,94133,37.806263,-122.416144,258000,,,2014,,,,,,,,,,0029/007
Tuscan Inn,,425 NORTH POINT ST,San Francisco,San Francisco,CA,94133,37.806517,-122.41411,121605,,,2014,85,78.2,151.1,77.7,149.6,,,499.9,,0030/001
Cost Plus Plaza,,2552 TAYLOR ST,San Francisco,San Francisco,CA,94133,37.805678,-122.415319,111082,,,2014,,45.8,139.6,45.8,139.6,,,277.2,,0030/008
Petco Building,,2598 TAYLOR ST,San Francisco,San Francisco,CA,94133,37.806354,-122.415442,14400,,,2014,,8.7,26.7,8.7,26.7,,,10.1,,0030/012
350 Bay St.,,360 Bay St.,San Francisco,San Francisco,CA,94133,37.805696,-122.412973,38697,,,2014,,,,,,,,,,0031/007
60 Francisco,,60 FRANCISCO ST,San Francisco,San Francisco,CA,94133,37.80562,-122.406039,130585,,,2014,,,,,,,,,,0037/001
295 BAY ST,,295 BAY ST,San Francisco,San Francisco,CA,94133,37.80586,-122.411675,26069,,,2014,,,,,,,,,,0040/017
2310 MASON ST,,2310 MASON ST,San Francisco,San Francisco,CA,94133,37.804994,-122.413482,13923,,,2014,92,22.5,61.4,23.7,62.8,,,23.8,,0041/038
315 Bay,,315 BAY ST,San Francisco,San Francisco,CA,94133,37.805763,-122.412455,15596,,,2014,85,35.8,90.2,37.8,92.3,,,40.8,,0041/040
1040 COLUMBUS AVE,,1040 COLUMBUS AVE,San Francisco,San Francisco,CA,94133,37.803998,-122.415482,10572,,,2014,,,,,,,,,,0050/001
Bimbo's 365 Club,,1001 COLUMBUS AVE,San Francisco,San Francisco,CA,94133,37.803867,-122.415426,20058,,,2014,,,,,,,,,,0050/004
Columbus Motor Inn,,1065 COLUMBUS AVE,San Francisco,San Francisco,CA,94133,37.804116,-122.415791,16200,,,2014,19,97.9,193.3,99,196.7,,,104.2,,0050/021
55 Francisco St.,,55 Francisco St.,San Francisco,San Francisco,CA,94133,37.805625,-122.405996,252253,,,2014,87,68.7,164.6,68.7,164.6,,,718.7,,0056/007
1850 Kearny,,140 CHESTNUT ST,San Francisco,San Francisco,CA,94133,,,17786,,,2014,,143.4,257.8,143.4,257.8,,,161.4,,0056/A002
LPF 150 Chestnut,,150 CHESTNUT ST,San Francisco,San Francisco,CA,94133,37.804581,-122.406374,36642,,,2014,99,19.6,51.2,19.6,51.2,,,53.4,,0056/B002
LPF 1725 Montgomery,,1701 MONTGOMERY ST,San Francisco,San Francisco,CA,94133,,,42989,,,2014,96,26,80.3,26,80.3,,,90.3,,0056/C002
1700 Montgomery,,1700 MONTGOMERY ST,San Francisco,San Francisco,CA,94111,37.805186,-122.405277,141787,,,2014,,,,,,,,,,0057/001
1620 Montgomery Street,,1620 MONTGOMERY ST,San Francisco,San Francisco,CA,94111,37.804108,-122.405027,46118,,,2014,96,33.9,87.7,37,91.1,,,109.1,,0059/003
990 COLUMBUS AVE,,990 COLUMBUS AVE,San Francisco,San Francisco,CA,94133,37.803304,-122.414528,16900,,,2014,,,,,,,,,,0065/048
"701 Chestnut Street, LLC",,2295 TAYLOR ST,San Francisco,San Francisco,CA,94133,37.803228,-122.414825,10440,,,2014,,94.8,185,116.3,207.6,,,64.7,,0066/001
LPF One Lombard,,1 LOMBARD ST,San Francisco,San Francisco,CA,94111,37.804123,-122.402561,120983,,,2014,,123,210,127.7,214.9,,,923.6,,0081/001
Interland - 1265 Battery Street,,1265 BATTERY ST,San Francisco,San Francisco,CA,94111,37.802923,-122.401921,80383,,,2014,85,49,114.6,50.1,114.2,,,278.3,,0084/008
Interland - 155 Greenwich Street,,101 GREENWICH ST,San Francisco,San Francisco,CA,94111,37.80315,-122.402799,145800,,,2014,77,69.7,203.3,69.9,203.9,,,797.9,,0084/009
1301 Sansome Street,,1301 SANSOME ST,San Francisco,San Francisco,CA,94133,37.802167,-122.402977,38440,,,2014,66,49,153.9,49,153.9,,,153.6,,0085/005
Interland - 1355 Sansome,,1355 SANSOME ST,San Francisco,San Francisco,CA,94133,37.802702,-122.403091,66700,,,2014,85,83.3,198,83.3,198,,,395.3,,0085/048
Maybeck Building,,1736 STOCKTON ST,San Francisco,San Francisco,CA,94133,37.801879,-122.409483,14384,,,2014,88,54.8,87.5,60.7,93.8,,,47.7,,0088/020
725 Greenwich St. Apartment,,725 GREENWICH ST,San Francisco,San Francisco,CA,94133,37.802021,-122.411745,16228,,,2014,87,36.2,113.5,37,116.1,,,33.1,,0090/030
721 Filbert Street Garage,,721 FILBERT ST,San Francisco,San Francisco,CA,94133,37.801089,-122.411777,23836,,,2014,,55.1,172.9,57.8,181.4,,,7.4,,0101/031
Dante Building,,1600 STOCKTON ST,San Francisco,San Francisco,CA,94133,37.800607,-122.409226,15000,,,2014,,,,,,,,,,0103/014
1620 STOCKTON ST,,1620 STOCKTON ST,San Francisco,San Francisco,CA,94133,37.800793,-122.409264,11446,,,2014,,,,,,,,,,0103/014A
201 Filbert,,201 FILBERT ST,San Francisco,San Francisco,CA,94133,37.802138,-122.403262,44050,,,2014,51,64.5,160.4,65.2,159.3,,,206.4,,0106/001
Levi - 1155 Battery Street,,1155 BATTERY ST,San Francisco,San Francisco,CA,94111,37.801841,-122.401711,409000,,,2014,90,54.8,146.5,55.5,145.5,,,1470.1,,0107/007
Interland - 1160 Battery Street,,1160 BATTERY ST,San Francisco,San Francisco,CA,94111,37.801826,-122.401708,215400,,,2014,66,97.2,221.4,99.3,221.2,,,1462,,0108/007
One Union,,1075 FRONT ST,San Francisco,San Francisco,CA,94111,37.801242,-122.400385,39992,,,2014,15,85.9,264.6,86.6,265.4,,,190.7,,0111/001
LPF 50 Green,,50 GREEN ST,San Francisco,San Francisco,CA,94111,37.800538,-122.40086,104344,,,2014,88,52.7,140.7,54.7,142.8,,,413.1,,0111/002
LPF 1050 Battery,,1050 BATTERY ST,San Francisco,San Francisco,CA,94111,37.801078,-122.401567,35649,,,2014,84,53.7,107.8,53.1,105.9,,,126.7,,0111/003
55 UNION ST,,55 UNION ST,San Francisco,San Francisco,CA,94111,37.801458,-122.401129,43000,,,2014,,84.7,207.5,88.2,211.2,,,262.7,,0111/004
Williams Sonoma - Ice House 1&2,,151 Union St,San Francisco,San Francisco,CA,94111,37.801317,-122.402387,205964,,,2014,,48.7,117.2,49.7,118.2,,,718.1,,0112/001
"150 Green Street Associates, LP",,150 GREEN ST,San Francisco,San Francisco,CA,94111,37.800341,-122.40228,29189,,,2014,83,42.7,116.4,44.9,116.3,,,78.4,,0112/008
200 Green Street,,200 GREEN ST,San Francisco,San Francisco,CA,94133,,,18407,,,2014,90,32.4,92.4,33.2,92,,,46.3,,0113/006
NEMS - Stockton,,1520 STOCKTON ST,San Francisco,San Francisco,CA,94133,37.799864,-122.409074,45000,,,2014,,108.8,283.3,108.9,280.3,,,363.4,,0116/020B
Fisher Dramov Building,,1527 STOCKTON ST,San Francisco,San Francisco,CA,94133,37.800082,-122.409118,18600,,,2014,,181.9,329.9,181.9,329.9,,,214.8,,0117/002
678 GREEN ST,,678 GREEN ST,San Francisco,San Francisco,CA,94133,37.79936,-122.41022,16380,,,2014,,,,,,,,,,0117/010
CA5-120 (Columbus Branch),,1455 STOCKTON ST,San Francisco,San Francisco,CA,94133,37.799285,-122.408954,12136,,,2014,98,24.8,64,28.1,67.4,,,22.3,,0130/001
649 GREEN ST,,649 GREEN ST,San Francisco,San Francisco,CA,94133,37.799417,-122.409765,19319,,,2014,,,,,,,,,,0130/039
624 VALLEJO ST,,624 VALLEJO ST,San Francisco,San Francisco,CA,94133,37.798709,-122.407741,17684,,,2014,,,,,,,,,,0131/009
408 Columbus,,408 COLUMBUS AVE,San Francisco,San Francisco,CA,94133,37.798883,-122.408105,13223,,,2014,,83.8,159.4,83.3,157.6,,,71.7,,0131/015
470 Columbus,,470 COLUMBUS AVE,San Francisco,San Francisco,CA,94133,37.799173,-122.40853,10992,,,2014,,93.5,230.9,100,237.7,,,74.4,,0131/018
Abbott Building,,1045 SANSOME ST,San Francisco,San Francisco,CA,94133,37.799825,-122.402511,85476,,,2014,96,39.7,90.3,46,96.9,,,222,,0134/001
945 Battery St,,945 BATTERY ST,San Francisco,San Francisco,CA,94111,37.800202,-122.401386,66028,,,2014,70,50.8,152.8,51,153,,,267.5,,0135/001
Battery,,901 BATTERY ST,San Francisco,San Francisco,CA,94111,37.799774,-122.4013,92061,,,2014,64,70.2,173.9,72.5,176.3,,,468.9,,0135/003
1000 SANSOME ST,,1000 SANSOME ST,San Francisco,San Francisco,CA,94111,37.799596,-122.402467,61680,,,2014,88,34.2,105.2,33.7,103.2,,,170.1,,0135/007
1050 Sansome Street,,1050 SANSOME ST,San Francisco,San Francisco,CA,94111,37.799818,-122.40251,35000,,,2014,,,,,,,,,,0135/008
1088 Sansome,,1090 SANSOME ST,San Francisco,San Francisco,CA,94111,37.800028,-122.40255,61600,,,2014,,,,,,,,,,0135/009
55 Green St,,55 GREEN ST,San Francisco,San Francisco,CA,94111,37.800578,-122.400557,45000,,,2014,34,88.4,217.5,89.7,216.8,,,287.5,,0136/001
945 FRONT ST,,945 FRONT ST,San Francisco,San Francisco,CA,94111,37.800111,-122.400154,20010,,,2014,,,,,,,,,,0136/002
921Front,,921 FRONT ST,San Francisco,San Francisco,CA,94111,37.799869,-122.400102,20280,,,2014,70,48.8,144.1,48.8,144.1,,,78.2,,0136/003
900 BATTERY ST,,900 BATTERY ST,San Francisco,San Francisco,CA,94111,37.799772,-122.4013,71772,,,2014,,,,,,,,,,0136/004
940 BATTERY ST,,940 BATTERY ST,San Francisco,San Francisco,CA,94111,37.800018,-122.401349,21720,,,2014,,,,,,,,,,0136/004A
962 BATTERY ST,,962 BATTERY ST,San Francisco,San Francisco,CA,94111,37.800273,-122.4014,18267,,,2014,88,35.3,89.1,38.8,92.7,,,47.2,,0136/005
Feather Factory,,950 BATTERY ST,San Francisco,San Francisco,CA,94111,37.800151,-122.401375,29690,,,2014,72,40.6,125.3,41.2,125.9,,,97.4,,0136/006
Polarity Post,,69 GREEN ST,San Francisco,San Francisco,CA,94111,37.800546,-122.400795,12100,,,2014,94,14.5,45.5,14.5,45.5,,,14.3,,0136/007
ABC - 900 Front Street,,900 FRONT ST,San Francisco,San Francisco,CA,94111,37.800121,-122.400156,187000,,,2014,7,175.9,472.1,179.7,476.1,,,1815.5,,0137/001
Williams Sonoma - Davis Street,,777 DAVIS ST,San Francisco,San Francisco,CA,94111,37.799553,-122.398857,26160,,,2014,72,55.1,146,58.9,149.9,,,107.9,,0140/001
60 BROADWAY,,60 BROADWAY,San Francisco,San Francisco,CA,94111,37.798832,-122.39906,13194,,,2014,85,31.6,96,31.6,96,,,33.4,,0140/005
100 Broadway,,100 BROADWAY,San Francisco,San Francisco,CA,94111,37.798682,-122.400222,24000,,,2014,,,,,,,,,,0141/003B
LPF 101 Vallejo,,101 VALLEJO ST,San Francisco,San Francisco,CA,94111,37.799646,-122.400359,15823,,,2014,98,27.2,74.6,29.7,77.2,,,32.8,,0141/013
855 Battery Street,,855 BATTERY ST,San Francisco,San Francisco,CA,94111,37.799187,-122.401181,233609,,,2014,60,84.5,229,84.5,227.2,,,1494.2,,0142/001
924 SANSOME ST,,924 SANSOME ST,San Francisco,San Francisco,CA,94111,37.798974,-122.402345,20832,,,2014,,35,57.9,35,57.9,,,44.7,,0142/005
300 Broadway Street,,300 BROADWAY,San Francisco,San Francisco,CA,94133,37.798387,-122.402573,43563,,,2014,87,37.5,79.9,41.6,84.2,,,110.8,,0143/002
644 BROADWAY,,644 BROADWAY,San Francisco,San Francisco,CA,94133,37.797728,-122.40779,42500,,,2014,,,,,,,,,,0146/006
772 PACIFIC AVE,,772 PACIFIC AVE,San Francisco,San Francisco,CA,94133,37.796766,-122.407972,15537,,,2014,,,,,,,,,,0161/015
Royal Pacific Motor Inn,,661 BROADWAY,San Francisco,San Francisco,CA,94133,37.797721,-122.407848,38881,,,2014,68,66.2,141.5,67.3,147.6,,,112.9,,0161/039
Miriwa Center Condos,,728 PACIFIC AVE,San Francisco,San Francisco,CA,94133,37.796837,-122.407414,37500,,,2014,,,,,,,,,,0161/041
728 PACIFIC AVE,,728 PACIFIC AVE,San Francisco,San Francisco,CA,94133,37.796837,-122.407414,12450,,,2014,,,,,,,,,,0161/051
728 PACIFIC AVE,,728 PACIFIC AVE,San Francisco,San Francisco,CA,94133,37.796837,-122.407414,13106,,,2014,,,,,,,,,,0161/082
Westlake MOB,,909 MONTGOMERY ST,San Francisco,San Francisco,CA,94133,37.79755,-122.403736,73603,,,2014,,,,,,,,,,0163/005
560 PACIFIC AVE,,560 PACIFIC AVE,San Francisco,San Francisco,CA,94133,37.797216,-122.404391,22000,,,2014,89,33.4,99,34.6,100.1,,,58.2,,0163/008A
570-574 Pacific Avenue,,574 PACIFIC AVE,San Francisco,San Francisco,CA,94133,37.797209,-122.404453,20162,,,2014,,,,,,,,,,0163/009
847 Sansome,,847 SANSOME ST,San Francisco,San Francisco,CA,94133,37.798051,-122.402159,20784,,,2014,37,52.6,113.3,52.6,113.3,,,74.5,,0164/002
450 Pacific KYL,,450 PACIFIC AVE,San Francisco,San Francisco,CA,94133,37.797391,-122.40301,26476,,,2014,50,60.8,134,62.1,134.2,,,110.7,,0164/010
470 PACIFIC AVE,,470 PACIFIC AVE,San Francisco,San Francisco,CA,94133,37.797355,-122.403337,17355,,,2014,,,,,,,,,,0164/011
930 MONTGOMERY ST,,930 MONTGOMERY ST,San Francisco,San Francisco,CA,94133,37.797731,-122.403772,24000,,,2014,,,,,,,,,,0164/012
381-391 Broadway,,381-391 Broadway,San Francisco,San Francisco,CA,94133,,,15000,,,2014,,,,,,,,,,0164/014
325 BROADWAY,,325 BROADWAY,San Francisco,San Francisco,CA,94133,37.798367,-122.402724,13825,,,2014,,,,,,,,,,0164/030
50 Osgood Place,,50 OSGOOD PL,San Francisco,San Francisco,CA,94133,37.797983,-122.403012,34343,,,2014,93,30,80.1,30,80.1,,,77.5,,0164/031
PMI - 394 Pacific Avenue,,394 PACIFIC AVE,San Francisco,San Francisco,CA,94111,37.797536,-122.401841,54700,,,2014,72,58.6,146.6,57.8,143.9,,,233.6,,0165/007
832 SANSOME ST,,832 SANSOME ST,San Francisco,San Francisco,CA,94111,37.797959,-122.402139,14154,,,2014,67,47.5,111.3,47.5,111.3,,,47.5,,0165/008
735 BATTERY ST,,735 BATTERY ST,San Francisco,San Francisco,CA,94111,37.79819,-122.400978,62476,,,2014,,22.4,36,25.1,38.9,,,84.9,,0165/017
717 BATTERY ST,,717 BATTERY ST,San Francisco,San Francisco,CA,94111,37.797893,-122.400921,32667,,,2014,,,,,,,,,,0165/022
747 Front Street,,101 BROADWAY,San Francisco,San Francisco,CA,94111,37.798682,-122.40022,71775,,,2014,89,31.7,97.3,31.7,97.3,,,183.4,,0166/001
750 Battery St. Building,,750 BATTERY ST,San Francisco,San Francisco,CA,94111,37.798255,-122.400991,124372,,,2014,66,64.9,159.4,64.8,157,,,493,,0166/008
600 Battery Street,,600 BATTERY ST,San Francisco,San Francisco,CA,94111,37.797388,-122.400824,112208,,,2014,87,49.1,137.2,49.1,137.2,,,423.2,,0173/001
643 FRONT ST,,643 FRONT ST,San Francisco,San Francisco,CA,94111,37.797498,-122.399621,19322,,,2014,,,,,,,,,,0173/002
639 Front St,,639 FRONT ST,San Francisco,San Francisco,CA,94111,37.7974,-122.399597,19468,,,2014,,31.5,82.6,34.9,86.1,,,45.6,,0173/003
607 FRONT ST,,607 FRONT ST,San Francisco,San Francisco,CA,94111,37.797195,-122.399547,15763,,,2014,68,44.7,97.7,54,107.5,,,48.3,,0173/005
Parkfront,,220 JACKSON ST,San Francisco,San Francisco,CA,94111,37.796867,-122.400016,23339,,,2014,,,,,,,,,,0173/006
Ban-Jackson,,244 JACKSON ST,San Francisco,San Francisco,CA,94111,37.796833,-122.40028,30087,,,2014,,,,,,,,,,0173/007
301 PACIFIC AVE,,301 PACIFIC AVE,San Francisco,San Francisco,CA,94111,37.797622,-122.401151,14568,,,2014,,,,,,,,,,0174/001
633 Battery,,617 BATTERY ST,San Francisco,San Francisco,CA,94111,37.79718,-122.400783,119099,,,2014,93,42.8,106.8,45.1,109.2,,,371.2,,0174/003
603 Battery Street,,603 BATTERY ST,San Francisco,San Francisco,CA,94111,37.796918,-122.400732,49446,,,2014,32,90.1,201.4,91.6,201,,,308.4,,0174/004
710 SANSOME ST,,710 SANSOME ST,San Francisco,San Francisco,CA,94111,37.796942,-122.401932,21790,,,2014,51,97.4,173.7,95.3,167.1,,,133.9,,0174/008
323 PACIFIC AVE,,323 PACIFIC AVE,San Francisco,San Francisco,CA,94111,37.797593,-122.401381,10047,,,2014,,,,,,,,,,0174/011
729 Sansome Street,,705 SANSOME ST,San Francisco,San Francisco,CA,94133,37.796907,-122.401925,14400,,,2014,72,37,104.1,37,104.1,,,41.1,,0175/003
435 PACIFIC AVE,,435 PACIFIC AVE,San Francisco,San Francisco,CA,94133,37.797422,-122.402744,33652,,,2014,,,,,,,,,,0175/028
Sansome & Pacific Investments,,755 SANSOME ST,San Francisco,San Francisco,CA,94133,37.797249,-122.401994,59910,,,2014,,,,,,,,,,0175/029
731 Sansome LLC,,731 SANSOME ST,San Francisco,San Francisco,CA,94133,37.797085,-122.401961,37063,,,2014,75,44.3,119.1,45.4,120.3,,,123.8,,0175/030
Blackboard Inc,,40 GOLD ST,San Francisco,San Francisco,CA,94133,37.796811,-122.402483,18863,,,2014,73,68.9,173.9,72.4,177.6,,,95.1,,0175/032
850 MONTGOMERY ST,,850 MONTGOMERY ST,San Francisco,San Francisco,CA,94133,37.797133,-122.403651,25000,,,2014,47,66,163.9,66,163.9,,,119.8,,0175/033
801 Montgomery,,801 MONTGOMERY ST,San Francisco,San Francisco,CA,94133,37.796599,-122.403533,36838,,,2014,31,69.7,215.3,70.5,216.2,,,207.6,,0176/007
The Golden Coin Building,,900 KEARNY ST,San Francisco,San Francisco,CA,94133,37.796322,-122.405191,30190,,,2014,37,58.9,174.4,59.3,172.4,,,140.7,,0176/011
Sentinel Building,,141 COLUMBUS AVE,San Francisco,San Francisco,CA,94133,37.7966,-122.404816,11000,,,2014,2,223.6,374.1,223.6,374.1,,,151.5,,0176/013
170 COLUMBUS AVE,,170 COLUMBUS AVE,San Francisco,San Francisco,CA,94133,37.7966,-122.404816,76431,,,2014,64,71.1,154.1,71.1,154.1,,,371.2,,0176/016
551-559 Pacific Avenue,,553 PACIFIC AVE,San Francisco,San Francisco,CA,94133,37.797209,-122.404453,25601,,,2014,,,,,,,,,,0176/017
535 Pacific Ave,,535 Pacific Ave,San Francisco,San Francisco,CA,94133,37.797243,-122.404167,45524,,,2014,,,,,,,,,,0176/024
JPMorgan Chase-Grant Ave,,1040 GRANT AVE,San Francisco,San Francisco,CA,94133,37.796513,-122.406757,13186,,,2014,61,57.1,176.1,57.9,176.9,,,60.8,,0177/015
1054 GRANT AVE,,1054 GRANT AVE,San Francisco,San Francisco,CA,94133,37.796753,-122.40681,12648,,,2014,,,,,,,,,,0177/018
1469 PACIFIC AVE,,1469 PACIFIC AVE,San Francisco,San Francisco,CA,94109,37.795322,-122.419442,12270,,,2014,,,,,,,,,,0185/029
1009 STOCKTON ST,,1009 STOCKTON ST,San Francisco,San Francisco,CA,94108,37.795031,-122.40811,15000,,,2014,98,8.8,16.1,8.8,16.1,,,8.4,,0192/004
855 JACKSON ST,,855 JACKSON ST,San Francisco,San Francisco,CA,94108,37.795681,-122.409361,15626,,,2014,,,,,,,,,,0192/019
Chinese Hospital,,845 JACKSON ST,San Francisco,San Francisco,CA,94108,37.795724,-122.409014,43120,,,2014,4,399.5,850.5,399.5,850.5,,,1167.7,,0192/041
816 WASHINGTON ST,,816 WASHINGTON ST,San Francisco,San Francisco,CA,94108,37.795098,-122.406859,13950,,,2014,,,,,,,,,,0193/013
720 Washington,,720 WASHINGTON ST,San Francisco,San Francisco,CA,94108,37.795291,-122.405304,15507,,,2014,97,13.6,24.9,15,26.4,,,13.4,,0194/006
740 WASHINGTON ST,,740 WASHINGTON ST,San Francisco,San Francisco,CA,94108,37.795222,-122.405848,10229,,,2014,,,,,,,,,,0194/009
735 Montgomery St,,735 MONTGOMERY ST,San Francisco,San Francisco,CA,94133,,,30000,,,2014,8,113.3,239.5,113.3,239.5,,,229.8,,0195/001
Church of Scientology of San Francisco,,701 Montgomery St,San Francisco,San Francisco,CA,94111,37.795832,-122.403375,29142,,,2014,5,49.3,137.3,52.9,141.1,,,110.2,,0195/002
33 COLUMBUS AVE,,33 COLUMBUS AVE,San Francisco,San Francisco,CA,94111,37.7958,-122.403673,14190,,,2014,,,,,,,,,,0195/004
646 WASHINGTON ST,,646 WASHINGTON ST,San Francisco,San Francisco,CA,94111,37.795411,-122.404336,18128,,,2014,,,,,,,,,,0195/008
499 JACKSON ST,,499 JACKSON ST,San Francisco,San Francisco,CA,94111,37.796455,-122.40327,15432,,,2014,,,,,,,,,,0196/016
451,,451 JACKSON ST,San Francisco,San Francisco,CA,94111,37.796509,-122.402812,13500,,,2014,,,,,,,,,,0196/019
Public Policy Institute of California,,500 WASHINGTON ST,San Francisco,San Francisco,CA,94111,37.795673,-122.402058,115609,,,2014,90,43.4,115,46.1,117.8,,,357.8,,0196/023
Eclipse Champagne Building,,520 WASHINGTON ST,San Francisco,San Francisco,CA,94111,37.795625,-122.402501,30496,,,2014,67,64.4,132.1,67.3,133.6,,,131,,0196/024
30 Hotaling Place,,30 HOTALING PL,San Francisco,San Francisco,CA,94111,37.795964,-122.402818,29064,,,2014,72,44.5,113.6,44.5,113.6,,,95.1,,0196/025
415 Jackson,,405 JACKSON ST,San Francisco,San Francisco,CA,94111,37.796622,-122.401991,58607,,,2014,,,,,,,,,,0196/027
700 MONTGOMERY ST,,700 MONTGOMERY ST,San Francisco,San Francisco,CA,94111,37.795681,-122.403346,11455,,,2014,85,22.1,62.4,22.1,62.4,,,19.6,,0196/028
Seven to Nine Maritime Plaza,,444 BATTERY ST,San Francisco,San Francisco,CA,94111,37.795394,-122.400418,13418,,,2014,,,,,,,,,,0204/019
