Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Portfolio Manager ID,Philadelphia Building ID
Allegheny Business Center,Adult Education,2233 West Allegheny Avenue,Philadelphia,Philadelphia,PA,19132,40.003418,-75.167077,87756,,1915,2014,,28.6,62.9,,,,,244.6,0.117370892,3965468,884558100
1622 Chestnut Street,Adult Education,1622 Chestnut Street,Philadelphia,Philadelphia,PA,19103,,,79480,,1931,2014,,147.3,462.5,,,,,1567.1,12.22571716,3999203,772509500
Center One,Ambulatory Surgical Center,9880 Bustleton Ave,Philadelphia,Philadelphia,PA,19115,40.095704,-75.030587,79485,,1980,2014,,92.5,290.4,,,,,984,18.53557275,3875830,778025205
Pacifico Ford,Automobile Dealership,6701 Essingtion ave,Philadelphia,Philadelphia,PA,19153,,,55000,,1970,2014,,47.3,148.5,,,,,348.3,3.576363636,3633488,882167505
Gershman Hall,College/University,401-11 South Broad Street,Philadelphia,Philadelphia,PA,19147,,,75000,,1923,2014,,86.3,161.8,,,,,550,10.59333333,2851911,771637200
Anderson Hall,College/University,329-35 South Broad Street,Philadelphia,Philadelphia,PA,19102,,,138123,,1916,2014,,60.9,141,,,,,858.1,5.61311295,2858208,771500000
Merriam Theater,College/University,250 South Broad Street,Philadelphia,Philadelphia,PA,19102,,,77964,,1918,2014,,87.9,196.6,,,,,678.1,44.6911395,2858581,772505500
Arts Bank,College/University,601 South Broad Street,Philadelphia,Philadelphia,PA,19147,,,25006,,1994,2014,,54.8,166.6,,,,,178.2,,2887841,771501000
Terra Hall,College/University,201-11 South Broad Street,Philadelphia,Philadelphia,PA,19107,,,273901,,1911,2014,,73.8,173,,,,,2143.2,20.6757186,2917145,772505410
Philadelphia University,College/University,4201 Henry Ave,Philadelphia,Philadelphia,PA,19144,,,635839,,1960,2014,,92.3,200.2,,,,,5843.7,41.7203097,3619585,775501010
Peirce College,College/University,1420 Pine St.,Philadelphia,Philadelphia,PA,19102,,,94151,,1898,2014,,84.3,204.5,,,,,843.5,8.4619388,3634201,772513020
Samuel MV Hamilton Building,College/University,128 N. Broad Street,Philadelphia,Philadelphia,PA,19102,,,240000,,1905,2014,,115.3,241.1,,,,,2583,14.86916667,3635047,772724100
Holy Family Hall,College/University,9801 Frankford Avenue,Philadelphia,Philadelphia,PA,19114,,,440350,,1954,2014,,42.1,95.2,,,,,1852.9,,3636946,778503000
Campus Center,College/University,9801 Frankford Avenue,Philadelphia,Philadelphia,PA,19114,,,89596,,1988,2014,,76.1,130.8,,,,,538.4,11.30407607,3637394,778503000
Education Technology Center,College/University,9801 Frankford Avenue,Philadelphia,Philadelphia,PA,19114,,,62000,,2005,2014,,144.6,317.7,,,,,873.4,,3637411,778503000
Stevenson Lane Residence,College/University,9801 Frankford Avenue,Philadelphia,Philadelphia,PA,19114,,,67430,,2009,2014,,40.5,92.5,,,,,275.2,30.29215483,3637470,778503000
Philadelphia College of Osteopathic Medicine,College/University,4190 City Ave,Philadelphia,Philadelphia,PA,19131,40.005111,-75.218072,409268,,1972,2014,,231.8,378.2,,,,,7170.7,34.1504833,3675619,774010040
CCP Main Campus-East,College/University,1600 Spring Garden St,Philadelphia,Philadelphia,PA,19130,,,503960,,1982,2014,,99.4,272.5,,,,,5436.2,23.2310104,3681793,772534600
CCP Main Campus-West,College/University,1700 Spring Garden St,Philadelphia,Philadelphia,PA,19130,,,556554,,1982,2014,,15.8,28.3,,,,,719.4,1.946441855,3681794,772534700
Center for Business & Industry,College/University,1751 Callowhill St,Philadelphia,Philadelphia,PA,19130,39.960353,-75.168004,177480,,2003,2014,,32,89.1,,,,,682.3,4.308654496,3681795,772535700
Northwest Regional Center,College/University,1300 W Godfrey Ave,Philadelphia,Philadelphia,PA,19141,40.04721,-75.140685,81018,,1965,2014,,73.5,177.6,,,,,671.4,38.09030092,3681796,776554000
Northeast Regional Center,College/University,12901 Townsend Road,Philadelphia,Philadelphia,PA,19154,40.106816,-74.978201,109110,,1995,2014,,67.4,162.5,,,,,777.3,5.806067272,3681797,772537500
Science and Technology Center (STC),College/University,4320 Woodland Ave,Philadelphia,Philadelphia,PA,19104,,,78000,,2007,2014,,81.2,254.9,,,,,847.7,27.91153846,3696770,773502090
Athletic Recreation Center (ARC),College/University,4310 Woodland Ave,Philadelphia,Philadelphia,PA,19104,,,78800,,2003,2014,,94.7,294.3,,,,,989.7,57.39213198,3696855,773502090
4140 Woodland,College/University,4140 Woodland Ave,Philadelphia,Philadelphia,PA,19104,,,70000,,1920,2014,,33.8,103,,,,,308.2,4.082857143,3696900,773499500
Griffith Hall,College/University,4247 Woodland Ave,Philadelphia,Philadelphia,PA,19104,,,113332,,1928,2014,,87.2,261.3,,,,,1268.3,16.42872269,3696901,773500500
Lutheran Theological Seminary of Philadelphia,College/University,7301 Germantown Ave.,Philadelphia,Philadelphia,PA,19119,40.061506,-75.192045,259257,,1889,2014,,44,88.1,,,,,1025.2,5.859822493,3751369,775515000
"7,7A-Bossone / Commonwealth",College/University,3118-38 Market Street,Philadelphia,Philadelphia,PA,19104,,,176360,,2004,2014,,193.5,373.8,,,,,3024.1,35.26876843,3762530,774526000
8-Creese,College/University,3200-3246 Chestnut Street,Philadelphia,Philadelphia,PA,19104,,,64611,,1962,2014,,151.2,332.8,,,,,979.9,,3762531,774517051
"9B,9A,9C-MacAlister /Mandell / Handschumacher",College/University,3250-60 Chestnut Street,Philadelphia,Philadelphia,PA,19104,,,167003,,1973,2014,,137.4,305.8,,,,,2329.8,56.83011682,3762532,774517200
13-Nesbitt,College/University,3201-47 Market Street,Philadelphia,Philadelphia,PA,19104,,,89077,,1970,2014,,113.4,248.4,,,,,1018.1,33.95152509,3762535,774528000
"15,16,90-Haggerty/General Service/Law",College/University,3300-3350 Market Street,Philadelphia,Philadelphia,PA,19104,,,237906,,1971,2014,,61.3,191.8,,,,,1946.4,15.8789606,3762539,774530700
"27,27A-LeBow / CAT Engineering",College/University,3100-16 Market Street,Philadelphia,Philadelphia,PA,19104,,,128347,,1989,2014,,120,297.8,,,,,1708.5,66.55706795,3762549,774525000
"55,55A,55B,55C-Academic/DesignAnnex/MathForum/Police Station",College/University,101 North 33rd Street,Philadelphia,Philadelphia,PA,19104,39.957914,-75.189098,117168,,1926,2014,,126.1,266.6,,,,,1440.1,50.15789294,3762572,774551000
71-URBN Center,College/University,3501 Market Street,Philadelphia,Philadelphia,PA,19104,,,162000,,2008,2014,,84.9,239.3,,,,,1670.4,8.17345679,3762580,774688700
81-3201 Arch Street,College/University,3201-21 Arch Street,Philadelphia,Philadelphia,PA,19104,,,72479,,1920,2014,,65.2,182.3,,,,,569.8,15.44447357,3762582,774513500
Lenfest Hall,College/University,1616 Locust St.,Philadelphia,Philadelphia,PA,19103,,,94747,,2011,2014,,98.5,225.5,,,,,942.5,24.9116067,3772776,881030550
"Chestnut Hill College, Sugarloaf Hill",College/University,9230 Germantown Ave,Philadelphia,Philadelphia,PA,19118,40.083568,-75.222371,50171,,1929,2014,,73.8,149,,,,,335.2,17.9884794,3778264,775519500
Moore College of Art and Design Peter Hall,College/University,1920-1934 Race Street,Philadelphia,Philadelphia,PA,19103,,,110000,,1957,2014,,122.3,126,,,,,427.3,28.01,3820168,772521000
Moore College of Art and Design Wilson Hall,College/University,1916 Race Street,Philadelphia,Philadelphia,PA,19103,,,63000,,1963,2014,,201.8,357.3,,,,,1095.4,25.19047619,3820182,772688010
"5,6,12,53,58,61-Quad Buildings",College/University,3201 Chestnut Street,Philadelphia,Philadelphia,PA,19104,,,404816,,1898,2014,,132.8,313,,,,,8512.1,38.48612703,3856018,774518010
"1,2,3,4-Main,Randell,Curtis,Alumni",College/University,3101 Chestnut Street,Philadelphia,Philadelphia,PA,19104,,,333089,,1891,2014,,119.5,296.9,,,,,4419.9,50.18148303,3862659,774516000
Aggregate Non-Residential Excluding MV,College/University,5600 City Avenue,Philadelphia,Philadelphia,PA,19131,39.99474,-75.240285,666000,,1927,2014,,152.9,277.1,,,,,8406.6,22.97732733,3879924,774502000
Mandeville Hall (MV),College/University,5600 City Avenue,Philadelphia,Philadelphia,PA,19131,39.99474,-75.240285,89373,,1997,2014,,99.7,230.5,,,,,907.8,8.060599957,3879942,774502000
Chestnut Hill College/ Mount Saint Josephs Convent,College/University,9601/9701 Germantown Ave,Philadelphia,Philadelphia,PA,19118,40.084417,-75.227911,962359,,1875,2014,,71.3,124.6,,,,,5494.9,15.79254727,3884090,775518010
DUMed-Queen Lane Campus,College/University,2900 Queen Lane,Philadelphia,Philadelphia,PA,19129,40.019795,-75.18136,262839,,1988,2014,,217.4,477.3,,,,,5563.5,35.22879025,3885006,774010200
DUMed-1427 Vine Street Building,College/University,1427 Vine Street,Philadelphia,Philadelphia,PA,19102,,,77304,,1940,2014,,95.1,247.2,,,,,830.6,20.85920522,3885150,772028000
DUMed-219 North Broad St,College/University,219 North Broad Street,Philadelphia,Philadelphia,PA,19102,,,88962,,1955,2014,,97.8,225.7,,,,,885,19.39704593,3885158,771004500
West Philadelphia Regional Center,College/University,4725 Chestnut Street,Philadelphia,Philadelphia,PA,19139,,,39090,,1992,2014,,56.2,112.1,,,,,196.8,3.704272192,3893000,774571000
La Salle #4,College/University,1924 W Olney Ave.,Philadelphia,Philadelphia,PA,19144,,,757521,,1899,2014,,116.7,220.2,,,,,7553,25.25883771,3893235,776515000
FSU,College/University,3340 N BROAD ST,Philadelphia,Philadelphia,PA,19140,40.004476,-75.152241,139460,,2000,2014,,343.9,614.2,,,,,4158,4.923992543,3955734,777528325
KORNBERG DENTISTRY,College/University,3201 N BROAD ST,Philadelphia,Philadelphia,PA,19140,40.001886,-75.152804,133302,,1980,2014,,169.4,363.4,,,,,2240.3,45.32265082,3955736,777526000
DENTAL SCHOOL (ORIG),College/University,3223 N BROAD ST,Philadelphia,Philadelphia,PA,19140,,,203374,,2000,2014,,160.1,337.3,,,,,3186.7,45.34011231,3955737,777527000
PODIATRIC - UNIVERSITY,College/University,800 RACE STREET,Philadelphia,Philadelphia,PA,19107,,,146805,,2000,2014,,99.5,227.8,,,,,1522.5,17.74735193,3955822,771524000
BARTON,College/University,1900 N. 13TH,Philadelphia,Philadelphia,PA,19122,,,152006,,2000,2014,,210.2,287.6,,,,,2236.5,37.47549439,3956098,777512040
IBC REC CTR,College/University,1449 C.B. MOORE,Philadelphia,Philadelphia,PA,19121,,,69093,,2000,2014,,100.7,199.8,,,,,651.3,64.12082266,3956647,777572705
PNAH,College/University,3307 N. Broad St.,Philadelphia,Philadelphia,PA,19140,40.003462,-75.15246,169976,,2000,2014,,515.5,840.8,,,,,7124.3,52.45387584,3956649,777528500
Liacouras Center Forum,College/University,1776 N. Broad St.,Philadelphia,Philadelphia,PA,19121,,,270316,,2000,2014,,65.9,139.5,,,,,1750.2,63.97253585,3956655,777508005
MITTEN,College/University,1913 N. BROAD,Philadelphia,Philadelphia,PA,19122,,,112771,,2000,2014,,237.5,398.9,,,,,2192,85.47676264,3956656,777512010
KLEIN,College/University,1719 N. BROAD,Philadelphia,Philadelphia,PA,19122,,,186123,,2000,2014,,154.2,268.2,,,,,2356.6,7.444539364,3957996,777507000
1700 N. BROAD,College/University,1700 N. BROAD,Philadelphia,Philadelphia,PA,19121,,,84360,,2000,2014,,113.6,235.2,,,,,920.7,12.06614509,3957997,777505000
MEDICAL RESEARCH BLDG,College/University,3400 N. Broad Street,Philadelphia,Philadelphia,PA,19140,,,117180,,2000,2014,,433.3,714.8,,,,,4161.4,35.57859703,3958443,777531000
Pearson/Mcgonigle,College/University,1800-38 N. Broad St.,Philadelphia,Philadelphia,PA,19122,,,449750,,1969,2014,,66.1,155.6,,,,,3161.7,9.629349639,3958445,777508500
RITTER HALL,College/University,1301 C.B. MOORE,Philadelphia,Philadelphia,PA,19122,,,111090,,2000,2014,,218.9,291.1,,,,,1669.4,12.54028265,3958446,777570000
RITTER ANNEX,College/University,1301 C.B. MOORE,Philadelphia,Philadelphia,PA,19122,,,153050,,2000,2014,,200.9,298.4,,,,,2280.1,6.963083959,3958447,777540000
MERB,College/University,3500 N Broad Street,Philadelphia,Philadelphia,PA,19140,40.006255,-75.151855,485000,,2000,2014,,208.1,571.8,,,,,11712.5,9.578350515,3958448,777532000
PRESSER,College/University,2001 N. 13TH,Philadelphia,Philadelphia,PA,19122,,,54792,,2000,2014,,198.8,263.8,,,,,760.6,19.72915754,3963378,777570600
ANNENBERG and TOMLINSON THEATER,College/University,2020 N. 13TH,Philadelphia,Philadelphia,PA,19122,,,120576,,2000,2014,,137.4,292.5,,,,,1634.2,24.4385284,3965450,777570800
BELL BUILDING & GARAGE (Bldg 253000 Garage 84469),College/University,1121 W. MONTGOMERY AVENUE,Philadelphia,Philadelphia,PA,19122,40.013479,-75.266844,421938,,1990,2014,,345.2,702.6,,,,,10826.6,63.41216008,3965451,777634500
ANDERSON,College/University,1114 W. POLETT WALK,Philadelphia,Philadelphia,PA,19122,,,207802,,2000,2014,,166.8,314.1,,,,,3060.8,4.460977276,3965855,777568800
BEURY,College/University,1901 N. 13TH,Philadelphia,Philadelphia,PA,19122,,,174700,,2000,2014,,289,509,,,,,4149.9,25.3371494,3965856,777570400
ECEC,College/University,1710-50 N. 15th Street,Philadelphia,Philadelphia,PA,19122,,,58020,,2000,2014,,155,420.1,,,,,1069.2,0.99448466,3966438,777573005
TUTTLEMAN LEARNING CENTER,College/University,12TH STREET,Philadelphia,Philadelphia,PA,19122,,,117253,,2000,2014,,228.5,368.4,,,,,2101.7,11.20824201,3966439,777570200
PALEY,College/University,1210 W. BERKS,Philadelphia,Philadelphia,PA,19122,39.980972,-75.151436,184644,,2000,2014,,172.5,304.8,,,,,2645.8,4.418773423,3966440,777570200
BIOLOGY,College/University,1900 N. 12TH,Philadelphia,Philadelphia,PA,19122,,,168651,,2000,2014,,856.9,1204.1,,,,,10413.8,135.5450012,3969866,777570400
GITTIS STUDENT CENTER,College/University,1755 N. 13TH,Philadelphia,Philadelphia,PA,19122,,,220700,,2000,2014,,105.1,169.6,,,,,1817.2,11.47439964,3979389,777569000
STUDENT CTR II,College/University,"13th St., 1800 block",Philadelphia,Philadelphia,PA,19122,,,86182,,2000,2014,,304.5,459.6,,,,,1946.5,10.78183379,3979390,777569000
SPEAKMAN,College/University,1801 N. 13TH,Philadelphia,Philadelphia,PA,19122,,,110605,,2000,2014,,188.1,265.2,,,,,1480.8,0.135617739,3979395,777509000
CONWELL HALL,College/University,NE CORNER BROAD AND MONTGOMERY,Philadelphia,Philadelphia,PA,19122,,,67644,,2000,2014,,215.6,342.4,,,,,1133.1,172.7189403,3979396,777509000
CARNELL HALL,College/University,NE CORNER BROAD AND MONTGOMERY,Philadelphia,Philadelphia,PA,19122,,,75931,,2000,2014,,181.1,301,,,,,1098.3,13.41876177,3979397,777509000
Alter Hall,College/University,1801 Liacouras Walk,Philadelphia,Philadelphia,PA,19122,39.980175,-75.156222,217526,,2000,2014,,119,200.5,,,,,2095.2,13.71054495,3983809,777509000
WACHMAN HALL,College/University,1819 N. BROAD ST.,Philadelphia,Philadelphia,PA,19122,,,130655,,2000,2014,,194.4,339.5,,,,,2107.5,64.52565918,3983810,777509000
GLADFELTER,College/University,1115 W. POLETT WALK,Philadelphia,Philadelphia,PA,19122,,,181566,,2000,2014,,192.4,279.8,,,,,2585.2,18.61526938,3983811,777568800
NEW TYLER SOA,College/University,2020 N. 12th Street,Philadelphia,Philadelphia,PA,19122,,,233240,,2000,2014,,291.5,481.5,,,,,5401.5,13.44023324,3983812,777570600
WEISS,College/University,1701 N. 13TH,Philadelphia,Philadelphia,PA,19122,,,159000,,2000,2014,,195.9,276.8,,,,,2223.3,14.17295597,3983813,777568900
ENGINEERING,College/University,1947 N. 12TH,Philadelphia,Philadelphia,PA,19122,,,160325,,2000,2014,,185.7,322.6,,,,,2478.8,3.104943084,3983896,777568800
1810 LIACOURAS WALK,College/University,1810 Liacouras Walk,Philadelphia,Philadelphia,PA,19122,39.980207,-75.156218,74630,,2000,2014,,169.8,271.1,,,,,999.4,14.54508911,3983897,777509000
KRESGE SCIENCE HALL,College/University,3440 N. Broad Street,Philadelphia,Philadelphia,PA,19140,40.005797,-75.151955,129260,,2000,2014,,287.1,549.4,,,,,3382.8,70.55160142,3995355,777531100
OLD MED SCHOOL,College/University,3400 N. Broad Street,Philadelphia,Philadelphia,PA,19140,,,155228,,2000,2014,,137.3,295.9,,,,,2121.8,93.88254696,3998046,777530000
PA Convention Center Annex,Convention Center,111 N. Broad Street,Philadelphia,Philadelphia,PA,19107,,,900000,,2011,2014,,37.4,108.7,,,,,4201.7,3.064666667,3788696,781020810
Exhibit Hall && Train Shed Bldg,Convention Center,1101 Arch Street,Philadelphia,Philadelphia,PA,19107,,,1100000,,1993,2014,,109.4,223.8,,,,,11021.7,8.24,3789312,781005800
Family Court,Courthouse,1801 Vine St,Philadelphia,Philadelphia,PA,19103,,,250000,,1939,2014,72,102.2,184.5,,,,,2195.5,24.0648,3335315,782598000
Philadelphia Traffic Court,Courthouse,800 Spring Garden St,Philadelphia,Philadelphia,PA,19123,,,80000,,1946,2014,76,45.4,142.5,,,,,486.1,30.10375,3682893,883523020
Criminal Justice Center (CJC),Courthouse,1301 Filbert Street,Philadelphia,Philadelphia,PA,19107,,,600000,,1994,2014,41,107.9,272.5,,,,,7149.7,30.0475,4319461,781092450
Grata Data Center,Data Center,1000 W Tabor Rd,Philadelphia,Philadelphia,PA,19141,40.036848,-75.138478,41740,,1962,2014,,230.8,716.3,,,,,1276,25.06468615,3875829,776012000
Westinghouse Lighting,Distribution Center,12401 McNulty Rd.,Philadelphia,Philadelphia,PA,19154,40.109637,-74.98811,229755,,1988,2014,54,37,82.3,,,,,837,5.42403865,3569995,884292544
2045 Wheatsheef Lain,Distribution Center,2045 Wheatsheef Lain,Philadelphia,Philadelphia,PA,19134,,,187238,,1960,2014,84,20.9,48.1,,,,,397,2.418846602,3594039,884203500
6900 Lindbergh Blvd.,Distribution Center,6900 Lindbergh Blvd.,Philadelphia,Philadelphia,PA,19142,39.912054,-75.228959,224684,,1975,2014,96,26.1,28.9,,,,,324.5,10.76534155,3597393,884161700
CDC,Distribution Center,5501 Whitaker Ave,Philadelphia,Philadelphia,PA,19124,40.035795,-75.098734,1197220,,1964,2014,80,45.9,85.6,,,,,4647.8,9.587878585,3597850,884120510
United Refrigeration Inc. Headquarters,Distribution Center,11401 Roosevelt Blvd.,Philadelphia,Philadelphia,PA,19154,40.098362,-75.010381,121508,,1960,2014,11,94.8,251.6,,,,,1325.5,4.649076604,3633517,884267500
United Refrigeration Inc. Warehouse 90,Distribution Center,11451 Roosevelt Blvd.,Philadelphia,Philadelphia,PA,19154,40.099483,-75.008758,163386,,1959,2014,81,33.5,69.7,,,,,508.6,2.312927668,3633532,884268000
Warehouse America,Distribution Center,2235 E. Castor Ave.,Philadelphia,Philadelphia,PA,19134,,,178250,,1961,2014,100,3.6,11.2,,,,,84.9,0.89368864,3635787,884193000
Almo Corporation,Distribution Center,2709 Commerce Way,Philadelphia,Philadelphia,PA,19154,40.110958,-74.978118,159200,,2001,2014,89,32.8,63.8,,,,,458.1,4.192211055,3637826,884292580
American Box & Recycling Co.,Distribution Center,3900 North 10th Street,Philadelphia,Philadelphia,PA,19140,,,211489,,1913,2014,,7.2,16.2,,,,,151.5,0.940001608,3642359,884822730
Diamond Furniture,Distribution Center,3412 J Street,Philadelphia,Philadelphia,PA,19134,,,160000,,1925,2014,,18.5,44,,,,,309.3,1.47375,3664350,884110550
Raymour and Flanigan Woodhaven CSC,Distribution Center,2001 Woodhaven Road,Philadelphia,Philadelphia,PA,19116,40.114367,-75.00314,98679,,1965,2014,70,42.8,70.6,,,,,389,14.35259782,3687630,884243500
"Arbill Industries, Inc.",Distribution Center,10450 Drummond Road,Philadelphia,Philadelphia,PA,19154,40.08577,-74.995125,98719,,1968,2014,65,49.7,92.9,,,,,410.4,3.5960656,3687914,884284000
Flynn & OHara Uniforms,Distribution Center,10905 Dutton Rd,Philadelphia,Philadelphia,PA,19154,40.089125,-74.989705,58000,,1970,2014,91,31.8,54.4,,,,,145,3.544827586,3690153,884282000
Novick Brothers Corp.,Distribution Center,3660 S Lawrence St.,Philadelphia,Philadelphia,PA,19148,39.901479,-75.158872,63229,,1962,2014,35,62.5,186.8,,,,,506,3.795726644,3736468,884154000
LT02182 - 4020 S. 26th Street,Distribution Center,4020 S. 26th Street,Philadelphia,Philadelphia,PA,19145,39.898403,-75.193078,52315,,2011,2014,79,77.7,202.6,,,,,469.8,3.471279748,3790440,788003015
Peirce-Phelps Inc.,Distribution Center,2000 N. 59th Street,Philadelphia,Philadelphia,PA,19131,,,210039,,1952,2014,,26.6,57.1,,,,,533.4,0.926970705,3810596,884115500
MARJAM SUPPLY,Distribution Center,6951 NEW STATE ROAD,Philadelphia,Philadelphia,PA,19135,40.021338,-75.038692,106400,,1945,2014,88,11.5,24.6,,,,,116.5,3.62593985,3813146,884182000
Leatex Chemical Co.,Distribution Center,2722 N. Hancock St.,Philadelphia,Philadelphia,PA,19133,39.992166,-75.1336,53050,,1884,2014,99,3.2,6.2,,,,,14.8,1.362865221,3814517,884340820
"Barsky-Fleming Marketing, Inc.",Distribution Center,2070-80 Wheatsheaf Lane,Philadelphia,Philadelphia,PA,19124,,,104000,,1920,2014,,9.6,18,,,,,84.7,1.589423077,3830422,884202100
"Brenntag Specialties, Inc.",Distribution Center,5700 Tacony Street,Philadelphia,Philadelphia,PA,19135,,,100000,,1950,2014,73,21.8,38.8,,,,,177.4,0.965,3854031,884213400
7746 Dungan,Distribution Center,7746 Dungan Rd,Philadelphia,Philadelphia,PA,19111,40.064814,-75.071297,68827,,1964,2014,24,62.2,131.3,,,,,402.9,3.271971755,3856201,884221900
US Treasury Building,Distribution Center,13000 Townsend Rd,Philadelphia,Philadelphia,PA,19154,40.104186,-74.982695,123510,,1994,2014,14,100.7,285.6,,,,,1518.8,3.802930937,3857641,884292513
UPS Oregon Ave,Distribution Center,15 E Oregon Ave,Philadelphia,Philadelphia,PA,19148,,,409119,,1967,2014,46,94.4,173.5,,,,,3226.7,5.174044716,3876347,884136200
Holts Cigar Company,Distribution Center,12270 Townsend Rd,Philadelphia,Philadelphia,PA,19154,40.102697,-74.984921,50847,,1970,2014,29,76.7,226.6,,,,,494.1,5.667984345,3879065,884292000
Packaging and Distribution Center,Distribution Center,3031 Red Lion Road,Philadelphia,Philadelphia,PA,19114,40.082177,-74.999803,104797,,1970,2014,,160.9,444.4,,,,,2700,7.80175005,3880216,884289001
"Ocean Desert Sales, Inc.",Distribution Center,5400 Tulip Street,Philadelphia,Philadelphia,PA,19106,40.012519,-75.068853,377829,,1928,2014,94,6.2,19.6,,,,,315.1,0.777600449,3883823,884177600
Freedom International,Distribution Center,6601 New State Rd,Philadelphia,Philadelphia,PA,19135,40.019724,-75.043867,54683,,1965,2014,29,83.8,133.6,,,,,339.8,3.238666496,3891054,884179500
jal associates inc,Distribution Center,2216 e allegheny ave,Philadelphia,Philadelphia,PA,19134,39.990569,-75.108172,102000,,1920,2014,89,26.7,33.2,,,,,165,2.654901961,3951080,884094300
Bachmann Industries,Distribution Center,1400 East Erie Avenue,Philadelphia,Philadelphia,PA,19124,40.005688,-75.100862,115105,,1950,2014,,39.7,64.4,,,,,343.5,4.309109074,3954287,884110150
3901 G street,Distribution Center,3901 G street,Philadelphia,Philadelphia,PA,19124,,,108000,,1950,2014,,20.4,23.4,,,,,125.2,13.21296296,3955149,884114000
ECI Building,Distribution Center,4343 Whitaker Ave.,Philadelphia,Philadelphia,PA,19124,40.016344,-75.117029,93000,,1950,2014,100,8.4,8.8,,,,,41.5,1.04516129,3956329,884184500
BASIC INVESTMENT INC,Distribution Center,3700 KENSINGTON AV,Philadelphia,Philadelphia,PA,19124,40.003546,-75.100599,85064,,1920,2014,90,11.1,18.6,,,,,73,0.245697357,3963040,884110700
SHARE Community Food Resource Center,Distribution Center,2901 W Hunting Park Ave,Philadelphia,Philadelphia,PA,19129,40.005597,-75.177544,133550,,1929,2014,82,25.9,55.3,,,,,328.8,4.569075253,3963980,884129000
COFCO - 2200,Distribution Center,2200 NORTH AMERICAN STREET,Philadelphia,Philadelphia,PA,19133,39.983901,-75.137795,55720,,1986,2014,23,40.7,79.8,,,,,200.3,1.493180187,3970728,884080340
14300 Townsend Rd,Distribution Center,14300 Townsend Road,Philadelphia,Philadelphia,PA,19154,40.112427,-74.971105,152388,,1996,2014,,45.7,100.2,,,,,677.1,2.271176208,3994266,884292604
Advanced Sports,Distribution Center,10940 Dutton Rd,Philadelphia,Philadelphia,PA,19154,40.089919,-74.988808,70000,,1965,2014,71,40.6,68.4,,,,,220.7,1.398571429,4056969,884280500
Main Warehouse,Distribution Center,12300 McNulty Road,Philadelphia,Philadelphia,PA,19154,40.109668,-74.983929,56947,,1985,2014,84,30.9,46.4,,,,,124.1,0.748063989,4067659,884292540
Frankford Candy,Distribution Center,9300 Ashton Rd,Philadelphia,Philadelphia,PA,19114,40.067297,-75.017862,507587,,2004,2014,61,42.1,103.9,,,,,2305.2,1.069373329,4068971,884227005
Select Nutrition Distributors,Distribution Center,2722 Commerce Way,Philadelphia,Philadelphia,PA,19154,,,110000,,2000,2014,32,67.5,173.3,,,,,829.9,5.18,4083183,884292596
"American Metal && Rubber, Inc.",Distribution Center,2527-37 N Broad St,Philadelphia,Philadelphia,PA,19132,,,50000,,1900,2014,68,17.5,22.3,,,,,54.1,0.7,4092042,884766800
500 Erie Ave,Distribution Center,500-50 E Erie Ave,Philadelphia,Philadelphia,PA,19134,,,130000,,1930,2014,87,7.8,24.4,,,,,135.1,1.374615385,4104348,884048000
ABW Supply,Distribution Center,5601 Paschall Avw,Philadelphia,Philadelphia,PA,19143,,,115000,,1910,2014,92,15.5,32.2,,,,,165.6,2.353043478,4136009,884890600
2135 West Moreland Part,Distribution Center,2136 Onterio Street Pump,Philadelphia,Philadelphia,PA,19134,,,100240,,1970,2014,100,,,,,,,,,4489635,884201500
Belmont Water Treatment Plant,Drinking Water Treatment & Distribution,4300 Ford Road,Philadelphia,Philadelphia,PA,19131,,,95000,,1965,2014,,258.3,440.8,,,,,1925.8,12.48842105,3697785,783042600
Baxter Water Treatment Plant,Drinking Water Treatment & Distribution,9001 State Road,Philadelphia,Philadelphia,PA,19136,,,232000,,1959,2014,,150,277.7,,,,,2925.9,,3698449,786071000
Queen Lane Water Treatment Plant,Drinking Water Treatment & Distribution,3110 W Queen Lane,Philadelphia,Philadelphia,PA,19129,40.018481,-75.183277,110000,,1953,2014,,190.5,446.7,,,,,2161.4,491.2318182,3779718,884461930
Gallery I,Enclosed Mall,907-37 Market Street,Philadelphia,Philadelphia,PA,19107,,,432762,,1977,2014,,97,304.7,,,,,5621.8,33.01699317,3430362,882506502
Gallery II,Enclosed Mall,1025 Market Street,Philadelphia,Philadelphia,PA,19107,,,339551,,1984,2014,,128.6,392.9,,,,,5701.7,45.42646024,3498313,882508100
The Shops at Liberty Place,Enclosed Mall,1625 Chestnut St.,Philadelphia,Philadelphia,PA,19103,,,144660,,1990,2014,,250.5,786.7,,,,,4851.5,72.34895617,3681741,882862100
Reading Terminal Market,Enclosed Mall,12th and Arch Street,Philadelphia,Philadelphia,PA,19106,,,77452,,1892,2014,,522.3,1276.5,,,,,4078.7,217.2442287,3769081,781005760
