Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Portfolio Manager ID,Philadelphia Building ID
1015 Chestnut Street,Office,1015 Chestnut Street,Philadelphia,Philadelphia,PA,19107,,,135000,,1940,2014,77,76.6,173.8,,,,,1070.2,18.16592593,3890983,883310000
Miller Building,Office,441 n 5th st,Philadelphia,Philadelphia,PA,19123,,,80000,,1956,2014,71,71.8,178.7,,,,,624.5,8.59625,3891321,883009101
913 Wallace Street,Office,913 Wallace Street,Philadelphia,Philadelphia,PA,19123,,,64000,,1950,2014,90,65.9,100.3,,,,,301,,3891695,884073505
2801-2817 Southampton Rd,Office,2801-2817 Southampton Rd,Philadelphia,Philadelphia,PA,19151,,,63000,,1998,2014,100,34.2,56.5,,,,,164.5,9.625396825,3892834,884291400
2825-2845 Southampton Rd,Office,2825-2845 Southampton Rd,Philadelphia,Philadelphia,PA,19154,,,66000,,1984,2014,100,10,13.6,,,,,43,6.978787879,3892835,884291510
2191 Hornig Rd,Office,2191 Hornig Rd,Philadelphia,Philadelphia,PA,19116,40.113569,-74.996499,64638,,1950,2014,100,12,34.5,,,,,96,0.784368328,3892836,884233835
Smylie Times Building - 2607 Rhawn St,Office,2607 Rhawn St,Philadelphia,Philadelphia,PA,19152,40.055966,-75.045423,54666,,1973,2014,,138.7,435.4,,,,,1014.8,38.15717265,3893447,883090500
2000 Market Street,Office,2000 Market Street,Philadelphia,Philadelphia,PA,19103,,,661669,,1972,2014,48,125.5,259.3,,,,,8034.4,0.31208958,3894669,883320500
1080 N Delaware Ave,Office,1080 N Delaware Ave,Philadelphia,Philadelphia,PA,19125,,,137500,,1960,2014,,48,125.3,,,,,748.4,6.826909091,3898953,883365000
121 S. Broad,Office,121 S. Broad St.,Philadelphia,Philadelphia,PA,19107,,,154000,,1900,2014,40,86.8,272.4,,,,,1650.4,10.77792208,3916312,883024500
Rodin Place,Office,2000 Hamilton Street,Philadelphia,Philadelphia,PA,19130,,,272000,,1989,2014,78,57.8,179.5,,,,,1853.7,19.00882353,3916385,883066600
1518 Walnut Street,Office,1518 Walnut Street,Philadelphia,Philadelphia,PA,19102,,,103560,,1929,2014,80,88.1,178.7,,,,,868.2,15.8439552,3938855,883334010
1500 Spring Garden,Office,1500 Spring Garden Street,Philadelphia,Philadelphia,PA,19130,,,1205490,,1948,2014,,177.8,557.8,,,,,27643.6,8.983649802,3944259,883026600
Corn Exchange,Office,123 Chestnut St,Philadelphia,Philadelphia,PA,19123,,,50704,,1923,2014,21,133.3,296.5,,,,,665.6,129.0766015,3946509,883300500
WHY Building,Office,1425 Arch Street,Philadelphia,Philadelphia,PA,19106,,,80000,,1915,2014,67,54.2,164.4,,,,,562.6,30.595,3952315,883057103
Salus University,Office,1200 W. Godfrey Avenue,Philadelphia,Philadelphia,PA,19141,40.046907,-75.138304,70000,,1976,2014,69,67.3,207,,,,,619.1,,3956315,776553600
PeiGenesis,Office,2180 Hornig Rd,Philadelphia,Philadelphia,PA,19116,40.112621,-74.99782,69000,,1987,2014,,81.7,192.1,,,,,582.8,7.84057971,3958192,
