Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2)
,Parking,500 S. 6th Street,Minneapolis,Hennepin,MN,55415,,,146400,,1935,2014,,15.2,47.8,15.2,47.8,,,87.5,
,Office,500 Washington Ave S,Minneapolis,Hennepin,MN,55415,,,286394,,2001,2014,97,59.2,126.6,56.5,123.4,,,2244.6,
,Parking,501 4th Avenue South,Minneapolis,Hennepin,MN,55415,,,249120,,1974,2014,,37.4,79.1,37.4,79.1,,,425.7,
,Office,510 1st Avenue North,Minneapolis,Hennepin,MN,55403,,,138474,,1910,2014,,67,138,62,132.8,,,1174.8,
,Worship Facility,511 Groveland Ave,Minneapolis,Hennepin,MN,55403,,,106412,,1916,2014,60,71.1,115.8,63.8,108.1,,,721.1,
,K-12 School,511 Kenwood Parkway,Minneapolis,Hennepin,MN,55403,,,120000,,1902,2014,16,145.2,251.9,136.7,242.9,,,1794.6,
,Parking,517 Marquette Avenue,Minneapolis,Hennepin,MN,55402,,,252783,,1999,2014,,43.7,97.2,41.6,94.2,,,385.3,
,Office,527 marquette ave suite 500,Minneapolis,Hennepin,MN,55402,,,142136,,1929,2014,52,147.4,252.6,130.3,231.9,,,,
,Performing Arts,528 Hennepin Ave,Minneapolis,Hennepin,MN,55403,,,119970,,1888,2014,,78.2,176.6,72.3,167.9,,,1324,
,Mixed Use Property,555 Nicollet Mall,Minneapolis,Hennepin,MN,55402,,,113000,,1991,2014,,88.3,183,83.4,175.1,,,,
,Other - Public Services,570 6th Avenue N,Minneapolis,Hennepin,MN,55411,,,285160,,1984,2014,,97.1,146,89.4,137.9,,,2385.6,
,Office,60 South Sixth Street,Minneapolis,Hennepin,MN,55402,,,683103,,1991,2014,89,82.2,162.4,79.5,159.1,,,6854.3,
,Other,600 Stinson BLVD,Minneapolis,Hennepin,MN,55413,,,250556,,1920,2014,,234.6,643.1,232.4,640.7,,,10364.3,
,Hotel,601 1st Avenue North,Minneapolis,Hennepin,MN,55403,,,208721,,2003,2014,66,104.2,224.5,100.7,216.7,,,2913.7,
,Retail Store,6010 Lyndale Ave. S.,Minneapolis,Hennepin,MN,55419,,,224051,,1970,2014,,132.9,210.8,122.4,199.7,,,2608.7,
,Hospital (General Medical & Surgical),606 24th ave s - Fairview St Marys Bldg,Minneapolis,Hennepin,MN,55454,,,596511,,1945,2014,99,143.5,263.1,143.7,263.6,,,9554.8,
,Office,608 2nd Ave S,Minneapolis,Hennepin,MN,55402,,,1518974,,1916,2014,64,103.3,244.3,98.7,238.9,,,16622.6,
,Office,615 1st Ave NE,Minneapolis,Hennepin,MN,55413,,,157227,,1928,2014,91,62.8,145.2,59.5,141.7,,,1432.5,
,Hotel,615 Second Avenue South,Minneapolis,Hennepin,MN,55402,,,200503,,2001,2014,7,195.1,322.3,184.8,310.7,,,3830.9,
,Office,625 Fourth Avenue South,Minneapolis,Hennepin,MN,55415,,,525000,,1981,2014,,77.4,168.5,,,,,5492.7,
,Office,651 Nicollet Mall,Minneapolis,Hennepin,MN,55402,,,328126,,1989,2014,34,117.7,263.7,113.2,255.7,,,5612,
,Retail Store,700 Nicollet Mall,Minneapolis,Hennepin,MN,55402,,,1235912,,1902,2014,76,84,148.2,79.7,143,,,11080.3,
,Office,701 Washington Ave,Minneapolis,Hennepin,MN,55401,,,117500,,1911,2014,31,157.3,290.6,147.2,280,,,2055.3,
,Office,706 Second Avenue South,Minneapolis,Hennepin,MN,55402,,,112356,,1926,2014,5,180.5,440.2,175.1,433.7,,,3145.8,
,Financial Office,707 Second Avenue South,Minneapolis,Hennepin,MN,55474,,,1156997,,1999,2014,90,83.4,185.8,78,180.1,,,11305.2,
,Office,708 North 1st St,Minneapolis,Hennepin,MN,55401,,,127484,,1905,2014,82,59.5,141.3,56.3,137,,,147.8,
,Office,710 S. 2nd Street,Minneapolis,Hennepin,MN,55401,,,119155,,2003,2014,80,110.3,174.4,106,169.5,,,1206.5,
,Mixed Use Property,711 Hennepin Ave,Minneapolis,Hennepin,MN,55403,,,101000,,1972,2014,,94.9,176.2,85.2,164.7,,,987.3,
,Museum,721 Vineland Place,Minneapolis,Hennepin,MN,55403,,,280000,,1970,2014,,155.8,310.3,149.8,301.5,,,4362.6,
,Office,730 Second Avenue South,Minneapolis,Hennepin,MN,55402,,,409505,,1968,2014,93,90.1,138.5,86.9,134.6,,,2692.8,
,Office,733 Marquette Avenue South,Minneapolis,Hennepin,MN,55402,,,424583,,1926,2014,93,85.3,152.5,82.6,149.4,,,3936.6,
,Mixed Use Property,80 South Eighth Street,Minneapolis,Hennepin,MN,55402,,,2463406,,1973,2014,,114.7,209.5,110.9,204.9,,,28934.2,
