Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2)
Fuller Park,Other - Entertainment/Public Assembly,4800 Grand Ave S,Minneapolis,Hennepin,MN,55419,,,6357,,1976,2014,,94.8,151.3,88.1,144.1,,,56,
Hiawatha School Park,Other - Entertainment/Public Assembly,4305 42nd St E,Minneapolis,Hennepin,MN,55406,,,6613,,1978,2014,,107.7,190.7,100.5,183.1,,,75.2,
Keewaydin Park,Other - Entertainment/Public Assembly,3030 53rd St E,Minneapolis,Hennepin,MN,55417,,,6314,,1972,2014,,159.5,249.1,147.1,236.1,,,91,
Kenny Park,Other - Entertainment/Public Assembly,1328 58th St W,Minneapolis,Hennepin,MN,55419,,,2456,,1962,2014,,207,348.1,192.4,332.9,,,50.4,
Kenwood Park,Other - Entertainment/Public Assembly,2101 Franklin Ave W,Minneapolis,Hennepin,MN,55405,,,5956,,1983,2014,,80.3,133.1,73.7,125.6,,,46.6,
Lake Hiawatha Park,Other - Entertainment/Public Assembly,2701 44th St E,Minneapolis,Hennepin,MN,55406,,,3970,,1977,2014,,138.3,280.9,124.3,252.2,,,68.4,
Lake Nokomis Park,Other - Entertainment/Public Assembly,2401 E Minnehaha Pkwy,Minneapolis,Hennepin,MN,55417,,,13769,,1975,2014,,92.1,134.1,84.4,125.9,,,104.8,
Linden Hills,Other - Entertainment/Public Assembly,3100 43rd St W,Minneapolis,Hennepin,MN,55410,,,7930,,1972,2014,,147.8,237.6,134.7,219,,,109.8,
Logan Park,Other - Entertainment/Public Assembly,690 13th Ave NE,Minneapolis,Hennepin,MN,55413,,,14294,,1971,2014,,101,170.3,94.8,163,,,143.6,
LongfellowPark,Other - Entertainment/Public Assembly,3435 36th Ave S,Minneapolis,Hennepin,MN,55406,,,16396,,1962,2014,,75.3,148.4,67.4,135.7,,,148.4,
Loring Park,Other - Entertainment/Public Assembly,1382 Willow St,Minneapolis,Hennepin,MN,55403,,,5164,,1906,2014,,142.5,288.2,135.2,280.6,,,91.2,
Luxton Park,Other - Entertainment/Public Assembly,112 Williams Ave SE,Minneapolis,Hennepin,MN,55414,,,15400,,1969,2014,,129.9,221.8,119.6,211,,,202.1,
Lyndale Farmstead Park,Other - Entertainment/Public Assembly,3900 Bryant Ave S,Minneapolis,Hennepin,MN,55409,,,2785,,1977,2014,,182.8,295.8,164,273.8,,,48.1,
Lynnhurst Park,Other - Entertainment/Public Assembly,1345 West Minnehaha Pkwy,Minneapolis,Hennepin,MN,55419,,,15446,,1971,2014,,90.7,138.4,82.7,130,,,123,
Matthews Park,Other - Entertainment/Public Assembly,2318 29th Ave S,Minneapolis,Hennepin,MN,55406,,,7846,,1968,2014,,131.9,254.6,120.7,242.8,,,121.3,
McRae Park,Other - Entertainment/Public Assembly,906 47th St E,Minneapolis,Hennepin,MN,55407,,,7839,,1955,2014,,144.9,230.5,126.8,205.6,,,105.1,
Morris Park,Other - Entertainment/Public Assembly,5531 39th Ave S,Minneapolis,Hennepin,MN,55417,,,4593,,1956,2014,,84.6,140.1,75.6,130.5,,,37.8,
MPRB Headquarters,Office,2117 W River Rd,Minneapolis,Hennepin,MN,55411,,,75327,,2001,2014,,65.6,155.7,62.2,152.1,,,738.7,
North Commons Park,Other - Entertainment/Public Assembly,1801 James Ave N,Minneapolis,Hennepin,MN,55411,,,13810,,1972,2014,,116.8,217.4,111,211.4,,,181.1,
Northeast Ice Arena,Ice/Curling Rink,1306 Central Ave N,Minneapolis,Hennepin,MN,55411,,,32772,,1996,2014,,98.1,186.1,94.8,182.7,,,369.1,
Painter Park,Other - Entertainment/Public Assembly,620 34th St W,Minneapolis,Hennepin,MN,55408,,,5787,,1976,2014,,125.8,194,117,184.8,,,64.8,
Parade Park Ice North,Ice/Curling Rink,610 Kenwood Parkway,Minneapolis,Hennepin,MN,55403,,,40195,,1988,2014,,232.1,474.7,222.9,465.1,,,1172.1,
Parade Park Ice South,Ice/Curling Rink,600 Kenwood Pkwy,Minneapolis,Hennepin,MN,55403,,,34351,,1988,2014,,202.1,272.4,190.8,260.5,,,519.3,
Pearl Park,Other - Entertainment/Public Assembly,414 Diamond Lake Rd E,Minneapolis,Hennepin,MN,55419,,,11934,,1967,2014,,100.5,197.2,90.9,184.4,,,143.5,
Peavey Park,Other - Entertainment/Public Assembly,730 22nd St E,Minneapolis,Hennepin,MN,55404,,,1865,,1992,2014,,153.2,328.5,145.7,320.6,,,37.9,
Pershing Field Park,Other - Entertainment/Public Assembly,3523 48th St W,Minneapolis,Hennepin,MN,55410,,,7287,,1975,2014,,83.2,150.8,77.7,144.8,,,65.9,
Phillips Pool and Gym Park,Other - Entertainment/Public Assembly,2323 11th Ave S,Minneapolis,Hennepin,MN,55404,,,41395,,1978,2014,,81.8,171.6,75.8,165.2,,,438.2,
Powderhorn Park,Other - Entertainment/Public Assembly,3400 15th Ave S,Minneapolis,Hennepin,MN,55407,,,20363,,1972,2014,,112.1,222,102,211.4,,,275.9,
Rev. Dr.Martin Luther King Park,Other - Entertainment/Public Assembly,4055 Nicollet Ave S,Minneapolis,Hennepin,MN,55409,,,20261,,1969,2014,,110.8,175.2,101.6,165,,,206.1,
Sibley Park,Other - Entertainment/Public Assembly,1900 40th St E,Minneapolis,Hennepin,MN,55407,,,7732,,1973,2014,,156.7,243.4,137.2,217.9,,,108.8,
Southside Operations Center,"Repair Services (Vehicle, Shoe, Locksmith, etc)",3800 Bryant Ave S,Minneapolis,Hennepin,MN,55409,,,58683,,1986,2014,,117.5,204.4,108.2,192.2,,,712.4,
Stewart Park,Other - Entertainment/Public Assembly,2700 12th Ave S,Minneapolis,Hennepin,MN,55407,,,6081,,1976,2014,,123.4,210.8,109.8,196.6,,,75.8,
VanCleve Park,Other - Entertainment/Public Assembly,901 15th Ave SE,Minneapolis,Hennepin,MN,55414,,,13266,,1970,2014,,142.3,234.9,130.1,218,,,182.9,
Waite Park,Other - Entertainment/Public Assembly,1810 34th Ave NE,Minneapolis,Hennepin,MN,55418,,,6212,,1979,2014,,59,122.1,55.3,118.2,,,46.7,
Webber Park,Other - Entertainment/Public Assembly,4400 Dupont Ave N,Minneapolis,Hennepin,MN,55412,,,7016,,1977,2014,,98.4,183.8,91.3,172.6,,,77.8,
Whittier Park,Fitness Center/Health Club/Gym,2600 Grand Ave S,Minneapolis,Hennepin,MN,55408,,,7549,,1974,2014,,156.8,293.9,143,279.3,,,133.9,
Windom NE Park,Other - Entertainment/Public Assembly,2251 Hayes St NE,Minneapolis,Hennepin,MN,55418,,,3880,,1991,2014,,174.7,281.3,158.2,264,,,63.7,
Andersen Elementary,K-12 School,256 Upton Ave S,Minneapolis,Hennepin,MN,55405,,,173507,,1976,2014,86,51.3,81.3,47.6,76.7,,,819.4,
Anthony Middle School,K-12 School,3350 4th Street North,Minneapolis,Hennepin,MN,55412,,,132372,,1957,2014,77,57.4,107.5,54.1,104.1,,,859.3,
Anwatin Middle School,K-12 School,700 22nd Ave NE,Minneapolis,Hennepin,MN,55418,,,279550,,1960,2014,69,80.2,122.7,74.9,117.1,,,1974.5,
Armatage Elementary,K-12 School,1421 Spruce Place,Minneapolis,Hennepin,MN,55403,,,61733,,1952,2014,60,115.6,167.5,106.3,157.6,,,586.4,
Bancroft Elementary,K-12 School,1601 Aldrich Ave N,Minneapolis,Hennepin,MN,55411,,,81030,,1925,2014,57,101,156.9,94.9,150.4,,,734.6,
Barton Elementary,Other,501 Irving Ave N,Minneapolis,Hennepin,MN,55405,,,54793,,1925,2014,88,70.9,132.5,66.6,128,,,438,
Bethune,K-12 School,4320 Newton Ave N,Minneapolis,Hennepin,MN,55412,,,240121,,1968,2014,73,83,124.3,75.7,116.1,,,1707.8,
Bryn Mawr Elementary,K-12 School,1200 West 26th Street,Minneapolis,Hennepin,MN,55405,,,156450,,1962,2014,74,82.6,115,77.1,109,,,1008.7,
Burroughs Elementary,K-12 School,2013 Penn Ave S,Minneapolis,Hennepin,MN,55405,,,67300,,2002,2014,87,69.3,110.5,65.1,106.1,,,432.5,
City View Elementary,K-12 School,3333 Penn Ave N,Minneapolis,Hennepin,MN,55412,,,111726,,1999,2014,53,88.7,164.2,84.6,159.9,,,1104.7,
Davis Center (District Headquarters),K-12 School,2600 44th Ave N,Minneapolis,Hennepin,MN,55412,,,60096,,2013,2014,73,103.5,146.1,95.1,137.4,,,494.4,
Dowling Elementary,K-12 School,415 4th Ave SE,Minneapolis,Hennepin,MN,55414,,,78957,,2007,2014,76,78,141.8,73,136.7,,,671.8,
Edison Senior High,K-12 School,807 27th Ave N,Minneapolis,Hennepin,MN,55411,,,125150,,1925,2014,44,85.2,159,80.6,154.2,,,1200.6,
Emerson Elementary,K-12 School,1500 James Ave N,Minneapolis,Hennepin,MN,55411,,,290000,,1925,2014,9,128.6,218,122.6,210.2,,,3733.2,
Field Elementary,K-12 School,2955 Hayes Street NE,Minneapolis,Hennepin,MN,55418,,,176336,,1925,2014,28,128.9,190.9,124,185.7,,,1920.8,
Folwell Elementary,K-12 School,2250 Garfield Street NE,Minneapolis,Hennepin,MN,55418,,,87705,,1945,2014,68,77.6,144.6,73.8,140.5,,,764.5,
Green Central Park Elementary,K-12 School,66 Malcom Street SE,Minneapolis,Hennepin,MN,55414,,,42437,,1993,2014,94,51.3,84.4,46.6,79.4,,,209.9,
Hale Elementary,K-12 School,1201 University Ave NE,Minneapolis,Hennepin,MN,55413,,,148005,,1930,2014,35,113.1,153.3,103.9,143.6,,,1261.4,
Hall Elementary,K-12 School,1510 Glenwood Ave,Minneapolis,Hennepin,MN,55405,,,94282,,1960,2014,68,74.6,126.5,70.1,121.8,,,704.7,
Harrison -other,K-12 School,1800 34th Ave S,Minneapolis,Hennepin,MN,55418,,,60083,,1998,2014,46,116.6,184,109.6,176.6,,,641.5,
Henry Senior High,K-12 School,315 West 26th Street,Minneapolis,Hennepin,MN,55404,,,142460,,1926,2014,82,57.1,108.9,54.4,106.1,,,940.4,
Hiawatha Elementary,K-12 School,252 Upton Avenue South,Minneapolis,Hennepin,MN,55405,,,102658,,1925,2014,34,109.5,181.7,103,174.9,,,1096.1,
Howe Elementary,K-12 School,2727 10th Ave S,Minneapolis,Hennepin,MN,55407,,,233557,,1941,2014,34,85.6,168.1,80.7,163,,,597.1,
Jefferson Elementary,K-12 School,5757 Irving Ave S,Minneapolis,Hennepin,MN,55419,,,139806,,1925,2014,65,90.7,128.7,83,120.7,,,1014.5,
Jenny Lind,K-12 School,2501 West 56th Street,Minneapolis,Hennepin,MN,55410,,,91500,,1995,2014,75,84.7,121.8,77.4,113.9,,,630.9,
Jordan Park,K-12 School,1315 East 38th Street,Minneapolis,Hennepin,MN,55407,,,79267,,1999,2014,53,102.9,142.4,92.8,131.5,,,631.9,
Keewaydin Elementary,K-12 School,4237 Colfax Ave S,Minneapolis,Hennepin,MN,55409,,,83752,,1934,2014,68,81.4,135.5,75.7,129.5,,,667.3,
Kenny Elementary,K-12 School,1601 West 50th Street,Minneapolis,Hennepin,MN,55419,,,162320,,1954,2014,76,68.3,116,63.8,111.3,,,1112.9,
Kenwood Elementary,K-12 School,4645 4th Ave South,Minneapolis,Hennepin,MN,55409,,,81171,,1925,2014,63,96.8,147.2,89.1,138.7,,,687.1,
Lake Harriet Lower Campus (Audubon),K-12 School,3416 4th Ave S,Minneapolis,Hennepin,MN,55408,,,120735,,1925,2014,98,53.1,72.2,50.3,69.3,,,485.1,
Lake Harriet Upper Campus (Fulton),K-12 School,1220 East 54th Street,Minneapolis,Hennepin,MN,55417,,,81807,,1925,2014,53,104.4,157.7,94.5,147.3,,,353.9,
Lincoln Elementary,K-12 School,4201 42nd Ave S,Minneapolis,Hennepin,MN,55406,,,40888,,1952,2014,20,225.7,262.7,199.3,234.5,,,566.7,
Longfellow Elementary,K-12 School,5209 30th Ave S,Minneapolis,Hennepin,MN,55417,,,87000,,1925,2014,45,94,165,87.2,157.8,,,854.6,
Loring Elementary,K-12 School,5720 Emerson Ave S,Minneapolis,Hennepin,MN,55419,,,61776,,1928,2014,60,112.1,156.8,102.9,147.1,,,543.7,
Lucy Laney Elementary,K-12 School,4030 Chowen Ave S,Minneapolis,Hennepin,MN,55410,,,37540,,2000,2014,17,182.8,274.3,168.5,259.3,,,589.6,
Lyndale Elementary,K-12 School,4912 Vincent Ave S,Minneapolis,Hennepin,MN,55410,,,77238,,1966,2014,66,107.6,161.3,98.8,152.1,,,713.6,
Marcy Elementary,K-12 School,3017 E 31st Street,Minneapolis,Hennepin,MN,55406,,,42733,,1992,2014,18,175,227.9,160.5,212.7,,,534.8,
Nellie Stone Johnson Elementary,K-12 School,3333 Grand Ave S,Minneapolis,Hennepin,MN,55408,,,97506,,2001,2014,92,47.3,92.8,44.4,89.7,,,551.5,
North Senior High,K-12 School,1607 51st Ave N,Minneapolis,Hennepin,MN,55430,,,134959,,1972,2014,69,94.9,140.6,88,133.3,,,1082.5,
Northeast Middle,K-12 School,4029 28th Ave S,Minneapolis,Hennepin,MN,55406,,,324718,,1956,2014,69,95.9,135.4,88.1,127.2,,,2475.6,
Northrop at Ericsson,K-12 School,3524 42nd Ave S,Minneapolis,Hennepin,MN,55406,,,132893,,2007,2014,52,118.3,155.7,107.7,144.2,,,1140.2,
Nutrition Center,K-12 School,2309 28th Ave S,Minneapolis,Hennepin,MN,55406,,,79692,,1974,2014,80,69.5,137,64.9,132.2,,,665.7,
Olson Middle School,K-12 School,3131 19th Ave S,Minneapolis,Hennepin,MN,55407,,,283094,,1962,2014,51,89.7,161.5,85.6,157.1,,,2736.6,
Pillsbury Elementary,K-12 School,3414 West 47th street,Minneapolis,Hennepin,MN,55410,,,300845,,1991,2014,71,97.9,144.6,90.5,136.9,,,2480.8,
Pratt Community Center,K-12 School,3100 E 28th Street,Minneapolis,Hennepin,MN,55406,,,214421,,1925,2014,53,85.6,142.1,80.2,136.4,,,1790.6,
Ramsey Elem / Washburn Senior,K-12 School,201 West 49th Street,Minneapolis,Hennepin,MN,55409,,,403234,,1925,2014,38,114.9,184.2,109.4,178.5,,,4327.8,
Roosevelt Senior High,K-12 School,5625 23rd Ave S,Minneapolis,Hennepin,MN,55417,,,44827,,1925,2014,67,104.3,153.7,95.4,144.4,,,392.6,
Sanford Middle School,K-12 School,3345 Chicago Ave,Minneapolis,Hennepin,MN,55407,,,205536,,1926,2014,60,82.6,131.9,79.2,128.3,,,1578,
Seward Elementary,K-12 School,5821 Wentworth Ave S,Minneapolis,Hennepin,MN,55419,,,73618,,1965,2014,61,93.6,150.2,85.5,141.6,,,644.5,
Sheridan Elementary,K-12 School,3900 West River Parkway,Minneapolis,Hennepin,MN,55406,,,90776,,1932,2014,63,120.1,178.9,108.2,165.5,,,928.1,
South Senior High,K-12 School,4315 31st Ave S,Minneapolis,Hennepin,MN,55406,,,57874,,1968,2014,69,96.3,142.5,87.3,133.1,,,470.4,
Southwest Senior High,K-12 School,1501 30th Ave N,Minneapolis,Hennepin,MN,55430,,,123293,,1939,2014,8,135.7,247.4,130.9,242.3,,,1830.5,
Sullivan Elementary,K-12 School,919 Emerson Ave,Minneapolis,Hennepin,MN,55411,,,75430,,1991,2014,80,73.2,120.8,68.3,115.7,,,534.9,
W. Harry Davis Academy Elementary,K-12 School,5025 Bryant Avenue North,Minneapolis,Hennepin,MN,55413,,,96693,,1995,2014,53,76.6,139.8,73.3,136.3,,,811.6,
