Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Record Number,BBL,Co-reported BBL Status,BBLs Co-reported,BINs,Borough,Number of Buildings
,Multifamily Housing,2243 3 AVENUE,New York,New York,NY,10035,,,285185,278929,,2013,,168.9,250.6,164.6,245.6,1981.8,795,2776.8,,4343,1017870001,,1017870001,1054626,Manhattan,1
,Multifamily Housing,211 EAST 122 STREET,New York,New York,NY,10035,,,247156,244137,,2013,,165.9,243.8,161.6,238.9,1717.5,661.6,2379.1,,4344,1017870060,,1017870060,1054627,Manhattan,1
,Multifamily Housing,2383 2 AVENUE,New York,New York,NY,10035,,,297425,293706,,2013,,164.6,239.7,160.4,235.1,2066.9,764.6,2831.5,,4345,1017870070,,1017870070,1054628,Manhattan,1
,Multifamily Housing,2391 2 AVENUE,New York,New York,NY,10035,,,268639,262929,,2013,,167.4,246,163.1,241.1,1866.8,719.1,2585.9,,4346,1017870080,,1017870080,1054629,Manhattan,1
,Multifamily Housing,438 EAST 120 STREET,New York,New York,NY,10035,,,51546,40950,,2013,,162.5,224.1,,,297.5,85.3,382.8,90.62,4354,1018070030,,1018070030,1054869,Manhattan,1
,Multifamily Housing,1809 ADAM C POWELL BLVD,New York,New York,NY,10026,,,51456,51456,,2013,,103.9,139.9,102.7,138.7,331.2,68.6,399.8,,4356,1018200061,,1018200061,1054938,Manhattan,1
,Multifamily Housing,60 ST NICHOLAS AVENUE,New York,New York,NY,10026,,,65048,64592,,2013,,44.6,90.6,,,,113,,45.11,4358,1018230018,,1018230018,1055008,Manhattan,1
,Multifamily Housing,66 ST NICHOLAS AVENUE,New York,New York,NY,10026,,,58429,58430,,2013,,101.2,145.9,100.7,145.4,255,90.2,345.2,58.62,4359,1018237501,,1018237501,1055030,Manhattan,1
,Multifamily Housing,89 LENOX AVENUE,New York,New York,NY,10026,,,154962,154962,,2013,,115.1,157.4,114.5,156.9,1084.7,242.3,1327,,4360,1018240016,,1018240016,1055038,Manhattan,1
,Multifamily Housing,92 ST NICHOLAS AVENUE,New York,New York,NY,10026,,,64869,64869,,2013,,154.1,190.2,153.6,189.7,614.5,81.4,695.9,,4361,1018240055,,1018240055,1055039,Manhattan,1
,Multifamily Housing,164 WEST 116 STREET,New York,New York,NY,10026,,,76300,84777,,2013,,73.3,119.6,73.3,119.4,238.3,140.6,378.9,36.11,4362,1018250059,,1018250059,1055056,Manhattan,1
,Multifamily Housing,,New York,New York,NY,,,,,86124,,2013,,,,,,347,42.1,389.1,,15213,1018260008,,1018260008,1055062;1085302;1085303,Manhattan,
,Multifamily Housing,1810 ADAM C POWELL BLVD,New York,New York,NY,10026,,,65286,75000,,2013,,74.1,102.4,74.1,102.4,248.3,71.7,320,,4364,1018260036,,1018260036,1055067,Manhattan,1
,Multifamily Housing,257 WEST 111 STREET,New York,New York,NY,10026,,,105273,105273,,2013,,102.5,147.7,100.3,145.5,625.1,176.6,801.7,,4365,1018270001,,1018270001,1055075,Manhattan,1
,Multifamily Housing,,New York,New York,NY,,,,,51500,,2013,,131.6,167.6,128.9,164.9,436,66.9,502.9,,15215,1018280034,,1018280034,1055119,Manhattan,
,Multifamily Housing,1864 ADAM C POWELL BLVD,New York,New York,NY,10026,,,55917,63900,,2013,,88.3,111.5,,,364.8,54.2,419,67.51,4368,1018290029,,1018290029,1055157,Manhattan,1
,Multifamily Housing,1878 ADAM C POWELL BLVD,New York,New York,NY,10026,,,61710,70525,,2013,,32.3,101.3,32.1,100.8,0,185.1,185.1,78.71,4369,1018290033,,1018290033,1055158,Manhattan,1
,Multifamily Housing,2098 FREDRICK DOUGLASS BL,New York,New York,NY,10026,,,91601,104918,,2013,,47.2,67.2,46.9,66.7,215.6,72.1,287.7,,4370,1018297501,,1018297501,1055136;1055181;1087078,Manhattan,1
,Multifamily Housing,,New York,New York,NY,,,,,391500,,2013,,,,,,,,,,15216,1018300005,Primary,1018300005;1018300006;1018300007;1018300008;1018300009;1018300010;1018300011;1018300012;1018300013;1018300014;1018300015;1018300016;1018300017;1018300018,1055190;1055191;1055192;1055193;1055194;1055195;1055196;1055197;1055198;1055199;1055200;1055201;1055202;1055203,Manhattan,
,,,New York,New York,NY,,,,,,,2013,,,,,,,,,,15217,1018300006,Secondary,1018300005;1018300006;1018300007;1018300008;1018300009;1018300010;1018300011;1018300012;1018300013;1018300014;1018300015;1018300016;1018300017;1018300018,1055190;1055191;1055192;1055193;1055194;1055195;1055196;1055197;1055198;1055199;1055200;1055201;1055202;1055203,Manhattan,
,,,New York,New York,NY,,,,,,,2013,,,,,,,,,,15218,1018300007,Secondary,1018300005;1018300006;1018300007;1018300008;1018300009;1018300010;1018300011;1018300012;1018300013;1018300014;1018300015;1018300016;1018300017;1018300018,1055190;1055191;1055192;1055193;1055194;1055195;1055196;1055197;1055198;1055199;1055200;1055201;1055202;1055203,Manhattan,
,,,New York,New York,NY,,,,,,,2013,,,,,,,,,,15219,1018300008,Secondary,1018300005;1018300006;1018300007;1018300008;1018300009;1018300010;1018300011;1018300012;1018300013;1018300014;1018300015;1018300016;1018300017;1018300018,1055190;1055191;1055192;1055193;1055194;1055195;1055196;1055197;1055198;1055199;1055200;1055201;1055202;1055203,Manhattan,
,,,New York,New York,NY,,,,,,,2013,,,,,,,,,,15220,1018300009,Secondary,1018300005;1018300006;1018300007;1018300008;1018300009;1018300010;1018300011;1018300012;1018300013;1018300014;1018300015;1018300016;1018300017;1018300018,1055190;1055191;1055192;1055193;1055194;1055195;1055196;1055197;1055198;1055199;1055200;1055201;1055202;1055203,Manhattan,
,,,New York,New York,NY,,,,,,,2013,,,,,,,,,,15221,1018300010,Secondary,1018300005;1018300006;1018300007;1018300008;1018300009;1018300010;1018300011;1018300012;1018300013;1018300014;1018300015;1018300016;1018300017;1018300018,1055190;1055191;1055192;1055193;1055194;1055195;1055196;1055197;1055198;1055199;1055200;1055201;1055202;1055203,Manhattan,
,,,New York,New York,NY,,,,,,,2013,,,,,,,,,,15222,1018300011,Secondary,1018300005;1018300006;1018300007;1018300008;1018300009;1018300010;1018300011;1018300012;1018300013;1018300014;1018300015;1018300016;1018300017;1018300018,1055190;1055191;1055192;1055193;1055194;1055195;1055196;1055197;1055198;1055199;1055200;1055201;1055202;1055203,Manhattan,
,,,New York,New York,NY,,,,,,,2013,,,,,,,,,,15223,1018300012,Secondary,1018300005;1018300006;1018300007;1018300008;1018300009;1018300010;1018300011;1018300012;1018300013;1018300014;1018300015;1018300016;1018300017;1018300018,1055190;1055191;1055192;1055193;1055194;1055195;1055196;1055197;1055198;1055199;1055200;1055201;1055202;1055203,Manhattan,
,,,New York,New York,NY,,,,,,,2013,,,,,,,,,,15224,1018300013,Secondary,1018300005;1018300006;1018300007;1018300008;1018300009;1018300010;1018300011;1018300012;1018300013;1018300014;1018300015;1018300016;1018300017;1018300018,1055190;1055191;1055192;1055193;1055194;1055195;1055196;1055197;1055198;1055199;1055200;1055201;1055202;1055203,Manhattan,
,,,New York,New York,NY,,,,,,,2013,,,,,,,,,,15225,1018300014,Secondary,1018300005;1018300006;1018300007;1018300008;1018300009;1018300010;1018300011;1018300012;1018300013;1018300014;1018300015;1018300016;1018300017;1018300018,1055190;1055191;1055192;1055193;1055194;1055195;1055196;1055197;1055198;1055199;1055200;1055201;1055202;1055203,Manhattan,
,,,New York,New York,NY,,,,,,,2013,,,,,,,,,,15226,1018300015,Secondary,1018300005;1018300006;1018300007;1018300008;1018300009;1018300010;1018300011;1018300012;1018300013;1018300014;1018300015;1018300016;1018300017;1018300018,1055190;1055191;1055192;1055193;1055194;1055195;1055196;1055197;1055198;1055199;1055200;1055201;1055202;1055203,Manhattan,
,,,New York,New York,NY,,,,,,,2013,,,,,,,,,,15227,1018300016,Secondary,1018300005;1018300006;1018300007;1018300008;1018300009;1018300010;1018300011;1018300012;1018300013;1018300014;1018300015;1018300016;1018300017;1018300018,1055190;1055191;1055192;1055193;1055194;1055195;1055196;1055197;1055198;1055199;1055200;1055201;1055202;1055203,Manhattan,
,,,New York,New York,NY,,,,,,,2013,,,,,,,,,,15228,1018300017,Secondary,1018300005;1018300006;1018300007;1018300008;1018300009;1018300010;1018300011;1018300012;1018300013;1018300014;1018300015;1018300016;1018300017;1018300018,1055190;1055191;1055192;1055193;1055194;1055195;1055196;1055197;1055198;1055199;1055200;1055201;1055202;1055203,Manhattan,
,,,New York,New York,NY,,,,,,,2013,,,,,,,,,,15229,1018300018,Secondary,1018300005;1018300006;1018300007;1018300008;1018300009;1018300010;1018300011;1018300012;1018300013;1018300014;1018300015;1018300016;1018300017;1018300018,1055190;1055191;1055192;1055193;1055194;1055195;1055196;1055197;1055198;1055199;1055200;1055201;1055202;1055203,Manhattan,
,Multifamily Housing,,New York,New York,NY,,,,,303585,,2013,,71.3,121.2,70.9,120.9,45.5,1799.6,1845.1,,15231,1018327502,,1018327502,1055254,Manhattan,
,Multifamily Housing,41 WEST 96 STREET,New York,New York,NY,10025,,,93857,97600,,2013,,59.5,86.3,59.2,86,248.9,90.7,339.6,26.67,4371,1018320010,,1018320010,1055256,Manhattan,1
,Multifamily Housing,27 WEST 96 STREET,New York,New York,NY,10025,,,133915,69645,,2013,,128.7,187.2,125.9,183.9,528.2,151.6,679.8,48.87,4372,1018320016,,1018320016,1055258,Manhattan,1
,Multifamily Housing,7 WEST 96 STREET,New York,New York,NY,10025,,,100316,105332,,2013,,77.4,110.9,76.7,109.9,492.8,131.6,624.4,37.41,4373,1018320025,,1018320025,1055262,Manhattan,1
,Multifamily Housing,28 WEST 97 STREET,New York,New York,NY,10025,,,342540,333342,,2013,,70,103.4,66.5,99.6,1372.5,416.1,1788.6,49.57,4375,1018320043,,1018320043,1055265,Manhattan,1
,Multifamily Housing,392 CENTRAL PARK WEST,New York,New York,NY,10025,,,390628,323200,,2013,,93.2,136.5,92.9,136.2,1580.1,508,2088.1,,4378,1018337503,,1018337503,1055287,Manhattan,1
,Multifamily Housing,392 CENTRAL PARK WEST,New York,New York,NY,10025,,,390628,323200,,2013,,91.9,136.2,91.3,135.3,1520.5,521.1,2041.6,,4379,1018337503,,1018337503,1055287,Manhattan,1
,Multifamily Housing,400 CENTRAL PARK WEST,New York,New York,NY,10025,,,390628,324023,,2013,,88.7,132.7,88.2,132.3,1465.6,518.6,1984.2,,4380,1018337504,,1018337504,1055288,Manhattan,1
,Multifamily Housing,410 CENTRAL PARK WEST,New York,New York,NY,10025,,,100530,117088,,2013,,64.1,90.6,64.1,90.6,458.5,115.5,574,,4383,1018360036,,1018360036,1055302,Manhattan,1
,Multifamily Housing,413 CENTRAL PARK WEST,New York,New York,NY,10025,,,132877,140693,,2013,,68.2,99.5,68.2,99.5,564.3,164,728.3,,4385,1018370029,,1018370029,1055309,Manhattan,1
,Multifamily Housing,418 CENTRAL PARK WEST,New York,New York,NY,10025,,,88060,76048,,2013,,85.9,136.4,85.9,136.4,356.6,143.9,500.5,,4386,1018377501,,1018377501,1055310,Manhattan,1
,Multifamily Housing,,New York,New York,NY,,,,,47836,,2013,,20.2,57.2,20,56.7,7.5,67,74.5,,15235,1018387502,,1018387502,1055401,Manhattan,
,Multifamily Housing,431 CENTRAL PARK WEST,New York,New York,NY,10025,,,115776,115776,,2013,,76.3,129.3,76.1,128.8,436.7,230.1,666.8,,4387,1018390029,,1018390029,1055480,Manhattan,1
,Multifamily Housing,441 CENTRAL PARK WEST,New York,New York,NY,10025,,,201723,380000,,2013,,41.7,57.4,41.5,57,990.2,220.8,1211,,4388,1018400029,,1018400029,1055495,Manhattan,1
,Multifamily Housing,463 CENTRAL PARK WEST,New York,New York,NY,10025,,,71216,71216,,2013,,65.9,73.5,65.6,73.1,334.2,18.7,352.9,,4390,1018420029,,1018420029,1055658,Manhattan,1
,Multifamily Housing,,New York,New York,NY,,,,,75020,,2013,,67.3,89.8,66.9,89.2,231.4,55.9,287.3,,15237,1018420042,,1018420042,1055663;1085311,Manhattan,
,Multifamily Housing,,New York,New York,NY,,,,,73012,,2013,,90,107.8,89.5,107.3,323.9,37.9,361.8,,15238,1018430020,,1018430020,1055687,Manhattan,
,Multifamily Housing,482 CENTRAL PARK WEST,New York,New York,NY,10025,,,54824,54824,,2013,,98.7,136.1,98.6,135.7,331.8,75.9,407.7,74.24,4393,1018440033,,1018440033,1055726,Manhattan,1
,Multifamily Housing,352 CATHEDRAL PARKWAY,New York,New York,NY,10025,,,102999,86078,,2013,,35.4,56.6,35.1,56.3,119.2,65.2,184.4,,4395,1018457502,,1018457502,1055748,Manhattan,2
,Other,352 CATHEDRAL PARKWAY,New York,New York,NY,10025,,,102999,64000,,2013,,167.6,237.3,166.6,235.9,469.6,152.8,622.4,,4396,1018457502,,1018457502,1055748,Manhattan,2
,Multifamily Housing,370 MANHATTAN AVENUE,New York,New York,NY,10026,,,69000,69000,,2013,,76.4,107.6,76.3,107.4,317.1,80,397.1,56.83,4399,1018480036,,1018480036,1055850,Manhattan,1
,Multifamily Housing,315 WEST 115 STREET,New York,New York,NY,10026,,,62000,62000,,2013,,64.8,71.1,64.7,70.9,275.4,12.1,287.5,,4400,1018480042,,1018480042,1055851,Manhattan,1
,Multifamily Housing,14 MORNINGSIDE AVENUE,New York,New York,NY,10026,,,55458,55458,,2013,,125.4,159.1,124.5,158,456.9,68.5,525.4,66.32,4401,1018490023,,1018490023,1055869,Manhattan,1
,Multifamily Housing,143 WEST 96 STREET,New York,New York,NY,10025,,,96000,102000,,2013,,,,,,,109.2,,39.37,4402,1018510005,,1018510005,1055892,Manhattan,1
,Multifamily Housing,127 WEST 96 STREET,New York,New York,NY,10025,,,121713,121710,,2013,,67.7,103.7,67.4,103.5,336,154.9,490.9,39.31,4404,1018510012,,1018510012,1055893,Manhattan,1
,Multifamily Housing,181 WEST 97 STREET,New York,New York,NY,10025,,,204468,183535,,2013,,67.6,101.5,67.2,100.7,525,218.3,743.3,,4405,1018520001,,1018520001,1055899,Manhattan,1
,Multifamily Housing,790 COLUMBUS AVENUE,New York,New York,NY,10025,,,257760,257760,,2013,,95.6,130.1,,,1535.1,328.3,1863.4,65.54,4406,1018520020,,1018520020,1055902,Manhattan,1
,Multifamily Housing,120 WEST 100 STREET,New York,New York,NY,10025,,,257760,257760,,2013,,94.1,134,,,1453.3,382.9,1836.2,56.53,4407,1018520031,,1018520031,1055905,Manhattan,1
,Hotel,881 AMSTERDAM AVENUE,New York,New York,NY,10025,,,83500,184475,,2013,46,96.2,196.5,95.4,194.3,250.4,347.7,598.1,72.73,4412,1018550050,,1018550050,1055912,Manhattan,1
,Multifamily Housing,149 WEST 106 STREET,New York,New York,NY,10025,,,170050,137000,,2013,,68.8,121.2,68.3,120.3,329.8,261.1,590.9,,4414,1018610010,,1018610010,1055957;1806996,Manhattan,1
,Multifamily Housing,412 CATHEDRAL PARKWAY,New York,New York,NY,10025,,,86819,86819,,2013,,63.1,96.3,62.7,95.6,224.6,101.4,326,43.49,4418,1018640039,,1018640039,1056034,Manhattan,1
,Hospital (General Medical & Surgical),1091 AMSTERDAM AVENUE,New York,New York,NY,10025,,,577649,1134614,,2013,,,,,,,7725.2,,,4421,1018660001,,1018660001,1056035;1084028;1084029;1084030;1084031;1084032;1084033,Manhattan,7
,Office,,New York,New York,NY,,,,,50000,,2013,,,,,,0,0,0,,15244,1018670067,,1018670067,1056055,Manhattan,
,Residence Hall/Dormitory,,New York,New York,NY,,,,,54138,,2013,100,14.1,14.8,14.1,14.8,40.4,0,40.4,,15245,1018670074,,1018670074,1056058,Manhattan,
,Multifamily Housing,740 WEST END AVENUE,New York,New York,NY,10025,,,135463,145497,,2013,,71.9,102.8,,,620.3,166.9,787.2,,4423,1018680001,,1018680001,1056059,Manhattan,1
,Multifamily Housing,2568 BROADWAY,New York,New York,NY,10025,,,57300,68216,,2013,,76.3,110,75.3,108.7,279.4,83.7,363.1,41.27,4424,1018680044,,1018680044,1056064,Manhattan,1
,Multifamily Housing,275 WEST 96 STREET,New York,New York,NY,10025,,,454038,458835,,2013,,30.9,81.9,30.9,82,219.4,887.4,1106.8,,4425,1018687501,,1018687501,1056068,Manhattan,1
,Multifamily Housing,760 WEST END AVENUE,New York,New York,NY,10025,,,94455,100752,,2013,,83.3,116.5,81.4,114.5,510.9,124.4,635.3,37.66,4426,1018690001,,1018690001,1056372,Manhattan,1
,Multifamily Housing,760 AMSTERDAM AVENUE,New York,New York,NY,10025,,,64650,66650,,2013,,167.9,250.9,163.7,246.7,560,200.3,760.3,,4427,1018690029,,1018690029,1056377,Manhattan,1
,Multifamily Housing,240 WEST 98 STREET,New York,New York,NY,10025,,,283522,294863,,2013,,104.1,143.7,103.5,143.1,1910.1,434.7,2344.8,,4432,1018697503,,1018697503,1056384;1086955,Manhattan,1
,Multifamily Housing,780 WEST END AVENUE,New York,New York,NY,10025,,,98950,79040,,2013,,98.5,132.6,97.4,131.3,489.2,99.8,589,38.13,4430,1018697502,,1018697502,1056386,Manhattan,1
,Multifamily Housing,790 WEST END AVENUE,New York,New York,NY,10025,,,166617,178625,,2013,,64.4,91.3,64.3,91,698.3,179,877.3,,4434,1018700004,,1018700004,1056393,Manhattan,1
,Multifamily Housing,250 WEST 99 STREET,New York,New York,NY,10025,,,54520,65000,,2013,,77.3,109.1,75.6,107.2,231,71.5,302.5,425.1,4435,1018700056,,1018700056,1056411,Manhattan,1
,Multifamily Housing,243 WEST 98 STREET,New York,New York,NY,10025,,,59780,56963,,2013,,75.8,103.1,75.4,102.5,271.7,57.7,329.4,,4436,1018707501,,1018707501,1056414,Manhattan,1
,Multifamily Housing,808 WEST END AVENUE,New York,New York,NY,10025,,,107120,107000,,2013,,94.6,126.3,93.4,125.2,634.3,125.1,759.4,,4438,1018710001,,1018710001,1056451,Manhattan,1
,Multifamily Housing,233 WEST 99 STREET,New York,New York,NY,10025,,,94674,96257,,2013,,83.5,115.1,82.9,114.4,501,112.9,613.9,,4439,1018710020,,1018710020,1056459,Manhattan,1
,Multifamily Housing,2632 BROADWAY,New York,New York,NY,10025,,,87305,87305,,2013,,143.9,228.8,143.2,227.5,494.4,264.1,758.5,,4440,1018710042,,1018710042,1056464,Manhattan,1
,Multifamily Housing,2628 BROADWAY,New York,New York,NY,10025,,,134627,132360,,2013,,71.6,155.6,71.1,154.1,233.2,414,647.2,,4444,1018717502,,1018717502,1056465,Manhattan,1
,Multifamily Housing,2637 BROADWAY,New York,New York,NY,10025,,,111883,111000,,2013,,109.9,174.2,109.2,172.8,481.8,254,735.8,92.06,4441,1018710052,,1018710052,1056466,Manhattan,1
,Multifamily Housing,814 WEST END AVENUE,New York,New York,NY,10025,,,107869,107000,,2013,,104.7,131.4,104,130.5,746.3,105,851.3,42.9,4442,1018710061,,1018710061,1056468,Manhattan,1
,Multifamily Housing,820 AMSTERDAM AVENUE,New York,New York,NY,10025,,,149500,159080,,2013,,109.2,171.2,108.9,170.9,694,350,1044,,4445,1018720029,,1018720029,1056483,Manhattan,1
,Other - Entertainment/Public Assembly,2644 BROADWAY,New York,New York,NY,10025,,,259607,267395,,2013,,71.5,91.6,71.1,91.2,1250.1,197.7,1447.8,,4446,1018720043,,1018720043,1056485,Manhattan,1
,Multifamily Housing,832 WEST END AVENUE,New York,New York,NY,10025,,,108377,112000,,2013,,40.2,126.3,40.2,126.3,0,366.4,366.4,15.97,4447,1018720061,,1018720061,1056493,Manhattan,1
,Multifamily Housing,832 WEST END AVENUE,New York,New York,NY,10025,,,108377,108377,,2013,,80.9,108.4,80.3,107.6,553.1,110.5,663.6,,4448,1018720061,,1018720061,1056493,Manhattan,1
,Multifamily Housing,,New York,New York,NY,,,,,97100,,2013,,,,,,,197.3,,,15246,1018730009,Primary,1018730009;1018750005;1018750009;1018750057,1056503;1056561;1056577;1079469;1079470;1079471;1079472;1079473;1079474,Manhattan,
,,,New York,New York,NY,,,,,,,2013,,,,,,,,,,15247,1018750005,Secondary,1018730009;1018750005;1018750009;1018750057,1056503;1056561;1056577;1079469;1079470;1079471;1079472;1079473;1079474,Manhattan,
,,,New York,New York,NY,,,,,,,2013,,,,,,,,,,15248,1018750009,Secondary,1018730009;1018750005;1018750009;1018750057,1056503;1056561;1056577;1079469;1079470;1079471;1079472;1079473;1079474,Manhattan,
,,,New York,New York,NY,,,,,,,2013,,,,,,,,,,15249,1018750057,Secondary,1018730009;1018750005;1018750009;1018750057,1056503;1056561;1056577;1079469;1079470;1079471;1079472;1079473;1079474,Manhattan,
,Multifamily Housing,2660 BROADWAY,New York,New York,NY,10025,,,95400,91500,,2013,,,,,,,,,,4449,1018730020,,1018730020,1056505,Manhattan,1
,Parking,205 WEST 101 STREET,New York,New York,NY,10025,,,54800,60552,,2013,,4.5,14.3,4.5,14.2,0,22.4,22.4,1.94,4450,1018730027,,1018730027,1056507,Manhattan,1
,Multifamily Housing,850 AMSTERDAM AVENUE,New York,New York,NY,10025,,,82172,77903,,2013,,111.1,160.7,,,473.6,140.9,614.5,60.49,4451,1018730031,,1018730031,1056510,Manhattan,1
,Multifamily Housing,2669 BROADWAY,New York,New York,NY,10025,,,61400,61205,,2013,,94.7,143.9,,,316,111.6,427.6,58.42,4452,1018730052,,1018730052,1056518,Manhattan,1
,Multifamily Housing,2689 BROADWAY,New York,New York,NY,10025,,,168140,117200,,2013,,91.5,135.5,90.9,134.8,452.2,179.6,631.8,52.48,4454,1018740052,,1018740052,1056548,Manhattan,1
,Multifamily Housing,246 WEST 103 STREET,New York,New York,NY,10025,,,77465,77465,,2013,,90.9,129.2,90.5,128.8,307.4,101.8,409.2,,4455,1018740058,,1018740058,1056550,Manhattan,1
,Multifamily Housing,246 WEST 103 STREET,New York,New York,NY,10025,,,77465,91298,,2013,,78,115.8,77.5,115,299.3,120.5,419.8,,4456,1018740058,,1018740058,1056550,Manhattan,1
,Multifamily Housing,878 WEST END AVENUE,New York,New York,NY,10025,,,61779,61779,,2013,,95.9,125.1,95.9,125.1,382.7,66.3,449,32.92,4457,1018740061,,1018740061,1056551,Manhattan,1
,Multifamily Housing,2681 BROADWAY,New York,New York,NY,10025,,,242330,242320,,2013,,83.5,141.8,83.5,141.8,1004,531,1535,,4458,1018747501,,1018747501,1056558,Manhattan,1
,Multifamily Housing,884 WEST END AVENUE,New York,New York,NY,10025,,,94328,94328,,2013,,16,45.6,15.9,45.3,11.3,105.8,117.1,75.42,4459,1018750001,,1018750001,1056560,Manhattan,1
,Multifamily Housing,2700 BROADWAY,New York,New York,NY,10025,,,135625,146638,,2013,,51.3,85.7,51.1,85.5,280.6,181.8,462.4,,12079,1018751001,Primary,1018751001;1018751002,1056563,Manhattan,1
,,2700 BROADWAY,New York,New York,NY,10025,,,135625,,,2013,,,,,,,,,,12080,1018751002,Secondary,1018751001;1018751002,1056563,Manhattan,1
,Multifamily Housing,892 AMSTERDAM AVENUE,New York,New York,NY,10025,,,59096,59100,,2013,,108.3,124.2,,,442.6,33.3,475.9,,4460,1018750036,,1018750036,1056566,Manhattan,1
,Multifamily Housing,,New York,New York,NY,,,,,47673,,2013,,,,,,295.2,,,,15250,1018750058,,1018750058,1056578,Manhattan,
,Multifamily Housing,890 WEST END AVENUE,New York,New York,NY,10025,,,114330,122830,,2013,,82.8,114.2,82.3,113.6,628.6,143,771.6,41.11,4461,1018750061,,1018750061,1056579,Manhattan,1
,Multifamily Housing,900 WEST END AVENUE,New York,New York,NY,10025,,,172176,172176,,2013,,16.3,46.6,16.3,46.7,19.8,197.9,217.7,,4462,1018760001,,1018760001,1056582,Manhattan,1
,Multifamily Housing,2721 BROADWAY,New York,New York,NY,10025,,,145625,149993,,2013,,72.8,105.8,72.4,105.4,651.5,184.8,836.3,47.42,4463,1018760007,,1018760007,1056583,Manhattan,1
,Multifamily Housing,2730 BROADWAY,New York,New York,NY,10025,,,112541,125580,,2013,,56.7,80.5,56.7,80.5,311.5,102.2,413.7,,4464,1018760046,,1018760046,1056600,Manhattan,1
,Multifamily Housing,908 WEST END AVENUE,New York,New York,NY,10025,,,120542,132596,,2013,,81.3,114.7,81.3,114.7,659.2,164.8,824,,4465,1018760061,,1018760061,1056604,Manhattan,1
,Multifamily Housing,2745 BROADWAY,New York,New York,NY,10025,,,160764,164758,,2013,,62.8,90.6,62.8,90.7,620.6,171.3,791.9,,4466,1018770001,,1018770001,1056607,Manhattan,1
,Multifamily Housing,234 WEST 106 STREET,New York,New York,NY,10025,,,66492,77574,,2013,,,,,,0,0,0,,4467,1018770042,,1018770042,1056622,Manhattan,1
,Multifamily Housing,2760 BROADWAY,New York,New York,NY,10025,,,249756,242197,,2013,,98.5,137.2,98.1,136.8,1467.5,348.4,1815.9,,4468,1018780012,,1018780012,1056631,Manhattan,1
,Multifamily Housing,209 WEST 106 STREET,New York,New York,NY,10025,,,106149,130000,,2013,,56.1,74.8,55.7,74.5,466,90.3,556.3,41.02,4469,1018780021,,1018780021,1056635,Manhattan,1
,Multifamily Housing,203 WEST 106 STREET,New York,New York,NY,10025,,,108052,130000,,2013,,62.6,86.8,62.3,86.2,505,116.8,621.8,,4470,1018780025,,1018780025,1056636,Manhattan,1
,Multifamily Housing,2770 BROADWAY,New York,New York,NY,10025,,,120968,127072,,2013,,212.6,312.4,211.7,310.4,1145.7,441.4,1587.1,,4471,1018787501,,1018787501,1056646,Manhattan,1
,Multifamily Housing,2780 BROADWAY,New York,New York,NY,10025,,,197170,209000,,2013,,71.1,102,71.1,102.1,896.2,241,1137.2,,4472,1018790001,,1018790001,1056647,Manhattan,1
,Multifamily Housing,968 AMSTERDAM AVENUE,New York,New York,NY,10025,,,100961,106900,,2013,,71.2,99.8,,,464.5,113.8,578.3,66.03,4473,1018790036,,1018790036,1056659,Manhattan,1
,Multifamily Housing,2800 BROADWAY,New York,New York,NY,10025,,,121922,87382,,2013,,93.5,133.9,87.7,127.7,493.4,131.8,625.2,71.96,4474,1018800001,,1018800001,1056673,Manhattan,1
,Multifamily Housing,520 CATHEDRAL PARKWAY,New York,New York,NY,10025,,,59769,61562,,2013,,71.9,106.1,70.2,104.4,256.8,78.7,335.5,31.25,4479,1018817502,,1018817502,1056866,Manhattan,1
,Multifamily Housing,535 CATHEDRAL PARKWAY,New York,New York,NY,10025,,,150429,150419,,2013,,81.5,93.4,81.5,93.4,859.7,63.4,923.1,45.83,4480,1018820008,,1018820008,1056904,Manhattan,1
,Multifamily Housing,515 CATHEDRAL PARKWAY,New York,New York,NY,10025,,,83471,87645,,2013,,87.1,112.8,85.5,111.1,358,72.6,430.6,,4481,1018820020,,1018820020,1056906,Manhattan,1
,Multifamily Housing,509 CATHEDRAL PARKWAY,New York,New York,NY,10025,,,83519,83519,,2013,,81.6,102.8,81.1,102.3,325.1,55.8,380.9,35.86,4482,1018820024,,1018820024,1056907,Manhattan,1
,Multifamily Housing,1020 AMSTERDAM AVENUE,New York,New York,NY,10025,,,88930,95155,,2013,,75.8,100.9,75.3,100.2,461.4,88.6,550,,4483,1018820028,,1018820028,1056908,Manhattan,1
,Multifamily Housing,1028 AMSTERDAM AVENUE,New York,New York,NY,10025,,,55868,55868,,2013,,136.3,217.7,136.2,217.5,318.7,163.6,482.3,,4484,1018820036,,1018820036,1056909,Manhattan,1
,Multifamily Housing,528 WEST 111 STREET,New York,New York,NY,10025,,,53085,53085,,2013,,,,,,,59.2,,39.4,4485,1018820051,,1018820051,1056913,Manhattan,1
