Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Record Number,BBL,Co-reported BBL Status,BBLs Co-reported,BINs,Borough,Number of Buildings
,Multifamily Housing,1181 SHERIDAN AVENUE,New York,Bronx,NY,10456,,,72276,72000,,2013,,100.8,134.9,100.4,134.5,447.8,89.9,537.7,,5476,2024560175,,2024560175,2002751,Bronx,1
,Multifamily Housing,1183 GERARD AVENUE,New York,Bronx,NY,10452,,,60269,60259,,2013,,103.1,128.4,,,407,55.2,462.2,,5564,2024880031,,2024880031,2003001,Bronx,1
,Multifamily Housing,,New York,Bronx,NY,,,,,72000,,2013,,95.5,129.6,,,423.5,90.6,514.1,,15424,2025120069,,2025120069,2003232,Bronx,
,Multifamily Housing,526 TINTON AVENUE,New York,Bronx,NY,10455,,,75924,75914,,2013,,66.8,80.7,66.8,80.7,347,38.2,385.2,,5658,2025820034,,2025820034,2003971,Bronx,1
,Multifamily Housing,1930 GRAND CONCOURSE,New York,Bronx,NY,10457,,,56000,56000,,2013,,162.6,220,,,418.2,107.8,526,27.99,5816,2028100001,,2028100001,2007721,Bronx,1
,Multifamily Housing,2010 GRAND AVENUE,New York,Bronx,NY,10453,,,50400,61871,,2013,,110.7,158.9,110.2,158.3,241.3,83.9,325.2,,5947,2028700016,,2028700016,2008629,Bronx,1
,Hospital (General Medical & Surgical),1788 HOE AVENUE,New York,Bronx,NY,10460,,,58962,68952,,2013,1,718.6,932.9,718.6,932.9,2340.8,480.6,2821.4,,6080,2029910034,,2029910034,2010685,Bronx,1
,Multifamily Housing,2015 DR M L KING JR BLVD,New York,Bronx,NY,10453,,,78000,77990,,2013,,65,94,65,93.9,292.5,83.6,376.1,,6275,2032160048,,2032160048,2014696,Bronx,1
,Multifamily Housing,2840 BAILEY AVENUE,New York,Bronx,NY,10463,,,86412,86402,,2013,,113.4,148,113.4,148,622.2,109.5,731.7,,6398,2032590022,,2032590022,2015867,Bronx,1
,Multifamily Housing,3150 ROCHAMBEAU AVENUE,New York,Bronx,NY,10467,,,174705,174705,,2013,,,,,,,156,,,6597,2033350060,,2033350060,2017998,Bronx,1
,Hospital (General Medical & Surgical),3525 BAYCHESTER AVENUE,New York,Bronx,NY,10466,,,80844,80844,,2013,100,171.4,300.7,,,659.2,393.2,1052.4,117.05,7084,2048940011,,2048940011,2065676,Bronx,1
,Multifamily Housing,3611 HENRY HUDSON PKWY W,New York,Bronx,NY,10463,,,134000,133990,,2013,,84.9,125,84.9,125.1,661.1,200.5,861.6,,7283,2059030283,,2059030283,2085775,Bronx,1
,Senior Care Community,100 WEST KINGSBRIDGE RD,New York,Bronx,NY,10468,,,235297,235297,,2013,1,217.2,351.4,,,2050.7,1134.7,3185.4,,6285,2032200037,,2032200037,2094693;2094694;2817361,Bronx,3
,Hospital (General Medical & Surgical),111 EAST 210 STREET,New York,Bronx,NY,10467,,,895256,99526,,2013,45,482.4,522.8,482.4,522.9,2567.2,67.8,2635,,6568,2033270001,,2033270001,2096396;2096398;2096399;2096401;2102884;2807922,Bronx,11
,Parking,613 EAST 233 STREET,New York,Bronx,NY,10466,,,234000,234000,,2013,,15.6,30.7,15.5,30.6,109,130,239,,7088,2049930001,,2049930001,2097440,Bronx,1
,Multifamily Housing,284 EASTERN PARKWAY,New York,Kings,NY,11225,,,76680,76670,,2013,,90,118,89.3,117.3,320.2,70.3,390.5,,7634,3011850021,,3011850021,3029671,Brooklyn,1
,Multifamily Housing,474 BROOKLYN AVENUE,New York,Kings,NY,11225,,,54456,54456,,2013,,,,,,,26.3,,,7716,3013220026,,3013220026,3035118,Brooklyn,1
,Multifamily Housing,1752 UNION STREET,New York,Kings,NY,11213,,,57400,66010,,2013,,70.8,96,70.4,95.4,211.6,55.7,267.3,6.86,7758,3014030025,,3014030025,3037798,Brooklyn,1
,Non-Refrigerated Warehouse,1247 GRAND STREET,New York,Kings,NY,11211,,,80060,80060,,2013,99,7.2,12.7,7.1,12.5,20.4,15.8,36.2,0.01,8110,3029290042,,3029290042,3070504,Brooklyn,1
,Multifamily Housing,1064 EAST NEW YORK AVENUE,New York,Kings,NY,11212,,,68172,68172,,2013,,,,,,213,,,45.42,8375,3045980001,,3045980001,3099485,Brooklyn,1
,Multifamily Housing,20 CROOKE AVENUE,New York,Kings,NY,11226,,,55458,12789,,2013,,63.1,198.1,63.2,198.4,0,65.6,65.6,,8492,3050600018,,3050600018,3116112,Brooklyn,1
,Multifamily Housing,141 EAST 21 STREET,New York,Kings,NY,11226,,,75043,75043,,2013,,3,8.5,3,8.5,1.8,15.6,17.4,,8538,3050820067,,3050820067,3116594,Brooklyn,1
,Multifamily Housing,1800 ALBEMARLE ROAD,New York,Kings,NY,11226,,,93552,116940,,2013,,,,,,0,0,0,,8603,3051220001,,3051220001,3117590,Brooklyn,1
,Multifamily Housing,405 WESTMINSTER ROAD,New York,Kings,NY,11218,,,153424,153414,,2013,,96.8,135,97.8,136.1,658.1,199.1,857.2,,8629,3051550050,,3051550050,3118652,Brooklyn,1
,Multifamily Housing,8215 4 AVENUE,New York,Kings,NY,11209,,,53000,53000,,2013,,79,85,79,85,305.5,10.5,316,,8951,3060080001,,3060080001,3152094,Brooklyn,1
,Multifamily Housing,2775 SHORE PARKWAY,New York,Kings,NY,11223,,,97440,48710,,2013,,78,89.1,77.4,88.5,192.6,13.8,206.4,,9390,3072370002,,3072370002,3196059,Brooklyn,1
,Multifamily Housing,1970 EAST 18 STREET,New York,Kings,NY,11229,,,106000,106200,,2013,,117.7,146,117.1,145.4,602.7,92.8,695.5,,9424,3072960029,,3072960029,3196929,Brooklyn,1
,Multifamily Housing,1865 OCEAN AVENUE,New York,Kings,NY,11230,,,75222,86505,,2013,,92,122.1,91.2,121.3,366.3,85.9,452.2,,9567,3076560073,,3076560073,3210009,Brooklyn,1
,Multifamily Housing,9 MURDOCK COURT,New York,Kings,NY,11223,,,169632,56534,,2013,,72.8,82.7,72.2,82.1,209.4,13.8,223.2,,9392,3072380002,,3072380002,3320730,Brooklyn,3
,Senior Care Community,2230 CROPSEY AVENUE,New York,Kings,NY,11214,,,120618,120618,,2013,4,245.1,411.8,,,1096.4,725.1,1821.5,,9065,3064710013,,3064710013,3329131,Brooklyn,2
,Multifamily Housing,580 CROWN STREET,New York,Kings,NY,11213,,,193962,264000,,2013,,28.5,59,28.4,58.9,203.5,299.3,502.8,20.55,7763,3014177501,,3014177501,3393724,Brooklyn,1
,Multifamily Housing,41 KOSCIUSZKO STREET,New York,Kings,NY,11205,,,86826,80000,,2013,,36.8,107.1,36.2,105.3,16.9,213.4,230.3,,7849,3017780089,,3017780089,3398151,Brooklyn,1
,Multifamily Housing,41-06 50 STREET,New York,Queens,NY,11377,,,57936,61590,,2013,,107,145.5,105.9,144.3,307.6,160,467.6,,9763,4001340029,,4001340029,4001163,Queens,1
,Multifamily Housing,34-50 29 STREET,New York,Queens,NY,11106,,,58200,52490,,2013,,102.4,139.1,102,138.7,252.7,65.2,317.9,,9978,4005840001,,4005840001,4007289,Queens,1
,Multifamily Housing,58-03 CALLOWAY STREET,New York,Queens,NY,11368,,,169500,169490,,2013,,86.3,121.2,85.9,120.5,644.9,201.5,846.4,,10403,4019490106,,4019490106,4047930,Queens,1
,Multifamily Housing,118-17 UNION TURNPIKE,New York,Queens,NY,11375,,,213654,213644,,2013,,53.1,112.7,52.5,111,293.4,473.6,767,,10794,4033340260,,4033340260,4079634,Queens,1
,Multifamily Housing,143-09 BARCLAY AVENUE,New York,Queens,NY,11355,,,161048,161038,,2013,,69.5,103.3,69.5,103.4,469.5,190.5,660,,11028,4050480001,,4050480001,4114658,Queens,1
,Multifamily Housing,88-24 MERRICK BOULEVARD,New York,Queens,NY,11432,,,82576,82576,,2013,,107.1,120.1,106.2,119.2,467,25.6,492.6,0,11640,4098150067,,4098150067,4210063,Queens,1
,Multifamily Housing,87-70 173 STREET,New York,Queens,NY,11432,,,66580,71000,,2013,,,,,,,,,,11651,4098290048,,4098290048,4210303,Queens,1
,Multifamily Housing,117-01 METROPOLITAN AVENUE,New York,Queens,NY,11418,,,219248,109990,,2013,,158.5,211.4,157.2,209.8,800.1,192.2,992.3,,10766,4033120008,,4033120008,4433884,Queens,2
,Multifamily Housing,107-01 PARK LANE SOUTH,New York,Queens,NY,11415,,,209844,109990,,2013,,137.5,189.3,136.4,187.9,677.3,192.2,869.5,,10765,4033120001,,4033120001,4433884,Queens,2
