Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),ENERGY STAR Certification Years,Tax Parcel
The Kensington,Multifamily Housing,665 Washington Street,Boston,Suffolk,MA,2111,,,368665,,2013,2014,,31.5,,,,,,697,29.18,,2203382000
The Stearns: 10 Temple Place,Multifamily Housing,10 Temple Pl,Boston,Suffolk,MA,2111,,,120700,,1909,2014,51,78.3,,,,,,626.9,49.97,,304794000
Tremont on the Common Condominium,Multifamily Housing,151 Tremont Street,Boston,Suffolk,MA,2111,,,500000,,1967,2014,100,16.5,,,,,,478.7,35.75,,
Tufts Medical Center,Hospital (General Medical & Surgical),800 Washington St,Boston,Suffolk,MA,2111,,,2102964,,1982,2014,75,174.4,,,,,,25142.6,29.32,,
Two Financial Center,Office,60 South Street,Boston,Suffolk,MA,2111,,,355340,,2009,2014,74,73.6,,,,,,2098.6,8.78,2014,304300010
39 North Bennet Street,Other - Education,39 North Bennet Street,Boston,Suffolk,MA,2113,,,30000,,1879,2014,,,,,,,,0,,,
Casa Maria Apartments LP,Multifamily Housing,130 Endicott Street,Boston,Suffolk,MA,2113,,,95176,,1980,2014,49,72.1,,,,,,434.1,24.09,,301498000
ELIOT,K-12 School,18 Charter St.,Boston,Suffolk,MA,2113,,,34603,,1932,2014,94,59.4,,,,,,125.8,1.01,,
Marketplace Lofts Limited Partnership,Multifamily Housing,10 Thacher Street,Boston,Suffolk,MA,2113,,,72600,,1904,2014,74,40,,,,,,237.2,28.39,,301309000
Nazzaro Community Center,Other - Recreation,32 North Bennet St,Boston,Suffolk,MA,2113,,,28000,,2000,2014,,62.6,,,,,,107.5,1.08,,
North End Branch,Library,25 Parmenter St,Boston,Suffolk,MA,2113,,,7600,,2000,2014,,102.4,,,,,,52.6,2.21,,
Saint John School,K-12 School,9 Moon Street,Boston,Suffolk,MA,2113,,,58645,,1899,2014,100,24.1,,,,,,87.7,,,
101 Merrimac Street,Office,101 Merrimac Street,Boston,Suffolk,MA,2114,,,166165,,1990,2014,75,74.8,,,,,,1016.3,17.13,,
172-The Boxer (Bulfinch) Hotel,Hotel,107 Merrimac Street,Boston,Suffolk,MA,2114,,,47420,,2005,2014,56,118.5,,,,,,382.1,73.07,,
205 Portland Street,Other,205 Portland Street,Boston,Suffolk,MA,2114,,,47500,,1900,2014,,25.2,,,,,,102,13.77,,301651000
239 Causeway Street,Office,239 Causeway Street,Boston,Suffolk,MA,2114,,,63750,,1917,2014,,28.2,,,,,,135.7,0.09,,1517000
25 New Chardon Street,Office,25 New Chardon Street,Boston,Suffolk,MA,2114,,,129338,,1967,2014,86,63.4,,,,,,562.7,,2014,302622000
250 Cambridge,Multifamily Housing,250 Cambridge St.,Boston,Suffolk,MA,2114,,,86006,,1978,2014,20,78.6,,,,,,459.7,45.37,,502186000
251 Causeway - Ste# 700490,Office,251 Causeway Street,Boston,Suffolk,MA,2114,,,150097,,1909,2014,76,59.4,,,,,,853.4,12,2014;2013,301510000
50 Staniford,Office,50 Staniford St,Boston,Suffolk,MA,2114,,,193230,,1975,2014,33,105.7,,,,,,1829.6,22.15,,300470000
98 N. Washington Street,Office,98 N. Washington Street,Boston,Suffolk,MA,2114,,,88003,,1986,2014,,47.6,,,,,,332.1,9.94,,301518000
A-01 Station,Police Station,40 NEW SUDBURY ST,Boston,Suffolk,MA,2114,,,37433,,2000,2014,,153.9,,,,,,404.5,1.54,,
African American Museum,Museum,46 Joy St,Boston,Suffolk,MA,2114,,,4500,,2000,2014,,,,,,,,0,0.96,,
Amy Lowell House: 65 Martha Road,Multifamily Housing,65 Martha Rd,Boston,Suffolk,MA,2114,,,115000,,1975,2014,100,48.1,,,,,,341.5,40.5,,300465000
Avenir,Multifamily Housing,101 Canal St.,Boston,Suffolk,MA,2114,,,380044,,2009,2014,81,51.5,,,,,,1289,28.61,,301570001
Bay Cove Human Services,Office,157-159 Friend Street,Boston,Suffolk,MA,2114,,,54893,,1899,2014,91,61.2,,,,,,252.7,,,301612000
Beacon House Rogerson LP,Other - Lodging/Residential,19 Myrtle Street,Boston,Suffolk,MA,2114,,,77770,,1986,2014,,32.7,,,,,,245.7,49.24,,300168000
Blackstone,Multifamily Housing,33 Blossom Street,Boston,Suffolk,MA,2114,,,133315,,1978,2014,100,40,,,,,,283.2,32.99,,300670000
Bowdoin  Place Condominium,Multifamily Housing,10 Bowdoin Street,Boston,Suffolk,MA,2114,,,112888,,2004,2014,97,23.4,,,,,,255.2,20.1,,302726010
BRA / EDIC,Other,43 HAWKINS ST,Boston,Suffolk,MA,2114,,,23408,,2000,2014,,267.7,,,,,,401.3,,,
Causeway Primary Condo Trust,Multifamily Housing,226 Causeway St,Boston,Suffolk,MA,2114,,,176692,,2001,2014,3,78.9,,,,,,1083.9,54.88,,303061020
CRP Sports Garage,Parking,35 Lomansey Way,Boston,Suffolk,MA,2114,,,184923,,1975,2014,,142.3,,,,,,420.7,4.31,,300470000
Emerson Place,Multifamily Housing,5 Longfellow Place,Boston,Suffolk,MA,2114,,,509460,,1962,2014,24,84.8,,,,,,2964.3,32.74,,300449000
GLC 6123006/6 BOWDOIN SQ/BOSTON/MA,Office,6 BOWDOIN SQ,Boston,Suffolk,MA,2114,,,223538,,1931,2014,4,163.8,,,,,,3159.6,17,,302628000
Greater Boston Legal Services,Office,32 38 Anthony R Valenti Wy,Boston,Suffolk,MA,2114,,,50400,,1900,2014,85,55.1,,,,,,249,12.45,,301592000
Hanover St,Multifamily Housing,220 Hanover St,Boston,Suffolk,MA,2114,,,56148,,1914,2014,100,10.9,,,,,,55,58.48,,302391000
Hawthorne Place Condominium Trust,Multifamily Housing,2 Hawthorne Place,Boston,Suffolk,MA,2114,,,476544,,,2014,85,67,,,,,,1985.3,34.19,,
Holiday Inn Express Boston Garden,Hotel,280 Friend St,Boston,Suffolk,MA,2114,,,54054,,1899,2014,93,53.5,,,,,,238.9,,,
Longfellow Place,Multifamily Housing,5 Longfellow Place,Boston,Suffolk,MA,2114,,,1263814,,1975,2014,62,49.6,,,,,,4010.4,19.77,,300470000
MEEI - 325 Cambridge St,Office,325 Cambridge St,Boston,Suffolk,MA,2114,,,39000,,1920,2014,1,181.8,,,,,,686,64.44,,300438010
MEEI - Main building,Hospital (General Medical & Surgical),243 Charles Street,Boston,Suffolk,MA,2114,,,389552,,1973,2014,1,336.5,,,,,,10140.9,68.43,,300381001
MEEI - SERI,Laboratory,20 Staniford St,Boston,Suffolk,MA,2114,,,71900,,2004,2014,,568.8,,,,,,3181.4,95.93,,300624000
One Bowdoin Square,Office,One Bowdoin Square,Boston,Suffolk,MA,2114,,,144088,,1972,2014,77,72.5,,,,,,843.7,12.07,,302621000
One Congress Street,Parking,50 New Sudbury St.,Boston,Suffolk,MA,2114,,,1335000,,1966,2014,,68.2,,,,,,1757.1,7.13,,302700000
Onyx Hotel,Hotel,155 Portland St,Boston,Suffolk,MA,2114,,,60104,,2004,2014,65,112,,,,,,484.6,7.89,,301646010
PHS-MGH Main Campus,Hospital (General Medical & Surgical),55 Fruit St.,Boston,Suffolk,MA,2114,,,4637402,,1811,2014,17,253,,,,,,77894.7,35.1,,0300370000;0300445000;0300445001;0300370000
PHS-MGH-125 Nashua St,Other - Specialty Hospital,125 Nashua St,Boston,Suffolk,MA,2114,,,220339,,1970,2014,,,,,,,,0,,,301927600
PHS-MGH-Charles River Health Club,Fitness Center/Health Club/Gym,10 Whittier Place,Boston,Suffolk,MA,2114,,,66655,,1964,2014,,94.2,,,,,,432.8,21.62,,300450972
PHS-MGH-CRP 165,Medical Office,165 Cambridge St.,Boston,Suffolk,MA,2114,,,157187,,1965,2014,49,73.3,,,,,,1114.4,39.21,,300660024
PHS-MGH-CRP 175,Medical Office,175 Cambridge St.,Boston,Suffolk,MA,2114,,,90472,,2004,2014,29,86,,,,,,752.7,10.96,,300660020
PHS-MGH-Simches,Medical Office,185 Cambridge St,Boston,Suffolk,MA,2114,,,353535,,2000,2014,36,289.3,,,,,,8066.7,55.61,,
Regina Cleri,Senior Care Community,60 Wm. Cardinal O'Connell Way,Boston,Suffolk,MA,2114,,,72000,,1964,2014,74,81.7,,,,,,384.4,,,300618000
Shriners Hospitals for Children - Boston,,51 Blossom,Boston,Suffolk,MA,2114,,,,,1999,2014,,,,,,,,4706.8,,,
TD Garden,Indoor Arena,100 Legends Way,Boston,Suffolk,MA,2114,,,1024179,,1995,2014,,114.1,,,,,,7063,23.37,,301925100
The Liberty Hotel,Hotel,215 Charles St,Boston,Suffolk,MA,2114,,,240000,,2007,2014,,189.1,,,,,,3103.7,56.88,,300758106
The Victor,Multifamily Housing,110 Beverly St,Boston,Suffolk,MA,2114,,,439989,,2013,2014,90,35.8,,,,,,1214.6,9.57,,301536000
West End Apartments,Multifamily Housing,4 Emerson Place,Boston,Suffolk,MA,2114,,,546714,,2008,2014,30,69.4,,,,,,2005.4,36.5,,300449000
West End Branch,Library,151 Cambridge St,Boston,Suffolk,MA,2114,,,12562,,2000,2014,,,,,,,,0,1.89,,
West End Place,Multifamily Housing,150 Staniford Street,Boston,Suffolk,MA,2114,,,289457,,1997,2014,11,84.3,,,,,,1649.7,27.34,,300471004
Whittier Place Condos,Multifamily Housing,Six Whittier Place,Boston,Suffolk,MA,2114,,,222436,,1985,2014,36,159.9,,,,,,2265.3,99.14,,300450000
Women's Shelter / Temporary Home,Residence Hall/Dormitory,41 New Chardon St,Boston,Suffolk,MA,2114,,,32000,,2000,2014,100,10.8,,,,,,33.5,0.97,,
Wyndham Boston at Beacon Hill,Hotel,5 Blossom Street,Boston,Suffolk,MA,2114,,,224602,,1968,2014,79,72.8,,,,,,1256.8,44.5,2013,300660002
1 Palace Rd-collegeUniversity,College/University,1 Palace Rd,Boston,Suffolk,MA,2115,,,110327,,1995,2014,,124.5,,,,,,1329.3,,,401844000
10 Coventry Street,College/University,10 Coventry Street,Boston,Suffolk,MA,2115,,,69739,,2004,2014,,41.1,,,,,,226.6,21.44,,
140 The Fenway,College/University,140 The Fenway,Boston,Suffolk,MA,2115,,,148145,,1912,2014,,210.3,,,,,,2295.4,16.75,,
16 Westland Avenue,Multifamily Housing,16 Westland Ave,Boston,Suffolk,MA,2115,,,30702,,1910,2014,,87.6,,,,,,164.7,55.36,,401521000
177 Huntington Ave.,Office,177 Huntington Ave.,Boston,Suffolk,MA,2115,,,251545,,1972,2014,80,148.6,,,,,,2687.8,14.51,2014,401150010
177 Longwood Ave Dorms-collegeUniversity,College/University,177 Longwood Ave Dorms,Boston,Suffolk,MA,2115,,,95631,,1995,2014,,57.5,,,,,,532.2,29.81,,401844000
179 Longwood Ave-collegeUniversity,College/University,179 Longwood Ave,Boston,Suffolk,MA,2115,,,347844,,1995,2014,,182.5,,,,,,4501.3,42.67,,401844000
337 Huntington Avenue,College/University,337 Huntington Avenue,Boston,Suffolk,MA,2115,,,50023,,1923,2014,,81.2,,,,,,269.4,48.07,,
351 Mass Ave,Multifamily Housing,351 Mass Ave,Boston,Suffolk,MA,2115,,,46200,,1899,2014,,,,,,,,,58.3,,402270000
416 Marlborough Street Condominium Trust,Multifamily Housing,41 6 Marlborough Street,Boston,Suffolk,MA,2115,,,781000,,1988,2014,100,3.8,,,,,,202,4.87,,503596000
662 Huntington Ave-collegeUniversity,College/University,662 Huntingtn Ave,Boston,Suffolk,MA,2115,,,51729,,1995,2014,,150.7,,,,,,538.2,9.98,,401844000
Administration Building/Wilkens Science Center,College/University,400 The Fenway,Boston,Suffolk,MA,2115,,,222865,,1919,2014,,176.3,,,,,,2044,18.11,,401847000
"Alpha Management (Nora, LLC)",Multifamily Housing,309-315 Huntington Ave,Boston,Suffolk,MA,2115,,,55968,,1920,2014,84,87.7,,,,,,274.6,43.57,,43528570
Alumnae Hall,College/University,321R Brookline Avenue,Boston,Suffolk,MA,2115,,,7600,,1905,2014,,153.4,,,,,,87.2,,,402012000
Arnold Hall,College/University,78 Pilgrim Road,Boston,Suffolk,MA,2115,,,22000,,1951,2014,,113.9,,,,,,168.3,34.42,,402013000
"Asian,Kennedy,Smith Campus",College/University,"125,129,131 Hemenway street",Boston,Suffolk,MA,2115,,,110798,,1903,2014,,80.7,,,,,,557.8,35.95,,
Bartol Hall,College/University,84 Pilgrim Road,Boston,Suffolk,MA,2115,,,25400,,1953,2014,,176.6,,,,,,314.4,101.29,,402012000
Beacon Towers Condominium,Multifamily Housing,479-483 Beacon St,Boston,Suffolk,MA,2115,,,70000,,1890,2014,80,62,,,,,,292.1,12.02,,503644000
BMR-Blackfan Circle LLC,Laboratory,3 Blackfan Circle,Boston,Suffolk,MA,2115,,,1072369,,2008,2014,,469,,,,,,24575.9,42.73,,401853022
Bosbh-Boston Hilton Back Bay,Hotel,40 Dalton Street,Boston,Suffolk,MA,2115,,,393752,,2007,2014,58,74.5,,,,,,2458.5,46.86,,401327000
Boston Children's Hospital,Other - Specialty Hospital,300 Longwood Ave,Boston,Suffolk,MA,2115,,,2631722,,1914,2014,,473.6,,,,,,73718,28.84,,
BrentonCorpLLC,Mixed Use Property,242-260 East Berkeley Street,Boston,Suffolk,MA,2115,,,52520,,1880,2014,,6.6,,,,,,33.5,18.34,,
Burbank Apartments,Multifamily Housing,18 Haviland Street,Boston,Suffolk,MA,2115,,,130700,,,2014,73,89.1,,,,,,704,34.94,,401401000
Burbank Gardens,Multifamily Housing,31 Burbank St.,Boston,Suffolk,MA,2115,,,40461,,1899,2014,100,14.5,,,,,,56.9,41.47,,401440000
"Cahners,Cushing,kerr,Melvin Campus",College/University,90 The Fenway,Boston,Suffolk,MA,2115,,,99293,,1923,2014,,111.6,,,,,,675.1,24.41,,
Cardinal Cushing Library,Library,398 The Fenway,Boston,Suffolk,MA,2115,,,51782,,1964,2014,,102.6,,,,,,386.3,18.03,,401847000
Charlesbank Apartments: 650 Huntington Avenue,Multifamily Housing,650 Huntington Avenue,Boston,Suffolk,MA,2115,,,210000,,2012,2014,23,117.7,,,,,,1509.7,46.73,,1000015000
Church Park Apartments,Multifamily Housing,221 Massachusetts Avenue,Boston,Suffolk,MA,2115,,,650000,,1973,2014,99,44.9,,,,,,1767.8,22.18,,401425000
"Cohen Wing Basement, Boston Symphony Orchestra",Office,255 Huntington Ave,Boston,Suffolk,MA,2115,,,20000,,1950,2014,,,,,,,,0.9,,,
Columbus Place,College/University,716 Columbus Avenue,Boston,Suffolk,MA,2115,,,124192,,1910,2014,,94.1,,,,,,874.9,6.76,,
Commonwealth Condominium,Multifamily Housing,362-366 Commonwealth Ave,Boston,Suffolk,MA,2115,,,62000,,1889,2014,63,78.2,,,,,,297.4,34.03,,503015000
Davenport Commons A,College/University,700 Columbus Avenue,Boston,Suffolk,MA,2115,,,122719,,2001,2014,,72.7,,,,,,595.6,34.59,,
Davenport Commons B,College/University,696 Columbus Avenue,Boston,Suffolk,MA,2115,,,76325,,2001,2014,,75.4,,,,,,392.3,35.83,,
Dix Hall,College/University,30 Pilgrim Road,Boston,Suffolk,MA,2115,,,22000,,1953,2014,,108.5,,,,,,156.8,46.68,,402016000
Engine 33,Fire Station,941 Boylston St,Boston,Suffolk,MA,2115,,,11580,,2000,2014,,138,,,,,,124.2,2.58,,
Engine 37,Fire Station,560 Huntington Ave,Boston,Suffolk,MA,2115,,,15824,,2000,2014,,89.4,,,,,,87.5,2.36,,
Evans Hall,College/University,305 Brookline Avenue,Boston,Suffolk,MA,2115,,,31900,,1938,2014,,96.8,,,,,,191.1,33.64,,402022000
FARRAGUT,K-12 School,10 Fenwood Rd.,Boston,Suffolk,MA,2115,,,35055,,1904,2014,97,48.7,,,,,,107.1,0.87,,
Feldberg Garage,Parking,340 Brookline Ave,Boston,Suffolk,MA,2115,,,159333,,1975,2014,,5,,,,,,73.9,,,
Fenway,Multifamily Housing,38 Hemenway St.,Boston,Suffolk,MA,2115,,,28060,,1911,2014,67,105.2,,,,,,175.4,51,,401395000
Fenway Triangle Trilogy,Multifamily Housing,180 Brookline Ave,Boston,Suffolk,MA,2115,,,727512,,2006,2014,,131.5,,,,,,4484.2,49.52,,2100051014
FIFIELD,K-12 School,20 Dunbar,Boston,Suffolk,MA,2115,,,31654,,1916,2014,97,55.5,,,,,,104.4,0.94,,
Fire Alarm,Fire Station,59 Fenway,Boston,Suffolk,MA,2115,,,13040,,2000,2014,,281.1,,,,,,265.8,2.69,,
GLC 6130007/41 BELVIDERE ST/BOSTON/MA,Office,41 BELVIDERE ST,Boston,Suffolk,MA,2115,,,119288,,1905,2014,1,229.9,,,,,,2459.6,32.31,,401314000
Harvard SPH 1,Laboratory,665 Huntington Ave,Boston,Suffolk,MA,2115,,,164789,,1960,2014,,230.3,,,,,,2720.2,7.92,,401880000
Harvard SPH 2,Laboratory,665 Huntington Ave,Boston,Suffolk,MA,2115,,,105991,,1960,2014,,455.4,,,,,,3345.8,52.98,,401880000
Harvard SPH 3 Kresge,Office,677 Huntington Avenue,Boston,Suffolk,MA,2115,,,149734,,1970,2014,82,138.2,,,,,,1481.6,14.11,,401880000
Harvard SPH 4 FXB,Office,651 Huntingon Ave,Boston,Suffolk,MA,2115,,,114162,,1999,2014,,245.4,,,,,,2054.3,9.48,,401880000
Health Center,College/University,94 Pilgrim Road,Boston,Suffolk,MA,2115,,,5400,,1967,2014,,106.6,,,,,,37.4,6.93,,402012000
Hemenway Apartments,Multifamily Housing,491 Huntington Ave,Boston,Suffolk,MA,2115,,,70300,,1900,2014,37,120.2,,,,,,493.7,75.18,,401797000
Hilton Back Bay Boston,,40 Dalton St.,Boston,Suffolk,MA,2115,,,,,1979,2014,,,,,,,,,,,
HMS-180 Longwood,Other,180 Longwood,Boston,Suffolk,MA,2115,,,61540,,1920,2014,,190.8,,,,,,846.8,8.09,,401872000
HMS-Armenise,Laboratory,210 Longwood Ave,Boston,Suffolk,MA,2115,,,133645,,1905,2014,,219,,,,,,2084.9,64.86,,401882000
HMS-C Building,Laboratory,240 Longwood,Boston,Suffolk,MA,2115,,,136368,,1905,2014,,259.5,,,,,,2593.4,26.24,,401882000
HMS-Countway,Library,10 Shattuck St,Boston,Suffolk,MA,2115,,,162771,,1963,2014,,184.9,,,,,,2126.1,8.44,,401882000
HMS-Goldenson,Laboratory,220 Longwood,Boston,Suffolk,MA,2115,,,133445,,1905,2014,,246.5,,,,,,2365.7,43.25,,401882000
HMS-Gordon Hall,Office,25 Shattuck St,Boston,Suffolk,MA,2115,,,72877,,1905,2014,6,134.7,,,,,,799.8,9.95,,401882000
HMS-Harvard Institutes of Medicine (HIM),Laboratory,4 Blackfan St,Boston,Suffolk,MA,2115,,,295537,,1992,2014,,487.6,,,,,,10227.7,119.35,,401849000
HMS-LHRRB,Laboratory,45 Shattuck St,Boston,Suffolk,MA,2115,,,66053,,1977,2014,,386.5,,,,,,1842.8,21.49,,401882000
HMS-New Research Building (NRB),Laboratory,77 Avenue Louis Pasteur,Boston,Suffolk,MA,2115,,,825684,,2003,2014,,368.4,,,,,,17914.5,44.44,,401849000
HMS-Seeley Mudd,Laboratory,250 Longwood,Boston,Suffolk,MA,2115,,,91622,,1977,2014,,578.7,,,,,,3688.2,32.9,,401882000
HMS-Tosteson Medical Education Center (TMEC),College/University,260 Longwood Ave,Boston,Suffolk,MA,2115,,,180027,,1905,2014,,181.4,,,,,,2312.2,0.42,,401882000
HMS-Vanderbilt Hall,Residence Hall/Dormitory,107 Avenue Louis Pasteur,Boston,Suffolk,MA,2115,,,165816,,1927,2014,47,119,,,,,,1429.4,29.58,,401850000
HMS-Warren Alpert (WAB),Laboratory,200 Longwood Ave,Boston,Suffolk,MA,2115,,,286194,,1992,2014,,527.5,,,,,,7472.6,102.07,,401882000
Holmes Sports Center,College/University,331 Brookline Avenue,Boston,Suffolk,MA,2115,,,53100,,1989,2014,,133.7,,,,,,491.1,18.89,,402012000
HSDM-Main,Medical Office,188 Longwood Ave,Boston,Suffolk,MA,2115,,,40251,,1909,2014,7,229.6,,,,,,650.7,34.51,,401882000
HSDM-Research Education Building (REB),Laboratory,190 Longwood Ave,Boston,Suffolk,MA,2115,,,70298,,2005,2014,,391.7,,,,,,1885.3,12.22,,401882000
"Huntington Plaza, Boston Symphony Orchestra",Office,265 Huntington Avenue,Boston,Suffolk,MA,2115,,,20000,,1950,2014,,14.6,,,,,,28.2,,,
International Village,College/University,1155-1175 Tremont Street,Boston,Suffolk,MA,2115,,,495301,,2009,2014,,89.3,,,,,,3250,30.92,,
Isabella Stewart Gardner Museum,Museum,280 the Fenway,Boston,Suffolk,MA,2115,,,63000,,1903,2014,,102.4,,,,,,406,,,
Isabella Stewart Gardner Museum,Museum,25 Evans Way,Boston,Suffolk,MA,2115,,,70000,,2011,2014,,159.1,,,,,,979.1,39.3,,
Jean Yawkey Center/Marian Hall,College/University,400R The Fenway,Boston,Suffolk,MA,2115,,,121477,,1954,2014,,213.6,,,,,,1300.9,38.52,,401847000
Julie Hall,Residence Hall/Dormitory,400 The Fenway,Boston,Suffolk,MA,2115,,,53826,,1958,2014,76,69,,,,,,268.5,41.02,,401862030
Kenmore Abbey,Multifamily Housing,488 Commonwealth Avenue,Boston,Suffolk,MA,2115,,,267431,,1978,2014,94,45.5,,,,,,809.8,27.88,,503924000
Landmark Square,Multifamily Housing,75 Peterborough Street,Boston,Suffolk,MA,2115,,,204157,,2000,2014,,53.2,,,,,,578.8,40.8,,504311000
LATIN,K-12 School,78 Louis Pasteur Ave.,Boston,Suffolk,MA,2115,,,336545,,1922,2014,68,62.2,,,,,,1331.8,0.88,,
Lefavour Hall,College/University,2 Avenue Louis Pasteur,Boston,Suffolk,MA,2115,,,122900,,1961,2014,,117,,,,,,968.5,12.6,,401842000
Loftman Hall,College/University,"163, 157, 153 Hemenway Street",Boston,Suffolk,MA,2115,,,53219,,1909,2014,,86.1,,,,,,272.2,34.95,,
Loretto Hall,Residence Hall/Dormitory,420 The Fenway,Boston,Suffolk,MA,2115,,,57190,,1964,2014,81,68.8,,,,,,259.3,32.77,,401847000
Main College Building,College/University,300 The Fenway,Boston,Suffolk,MA,2115,,,198700,,1904,2014,,122.4,,,,,,1621.1,9.43,,401842000
McBride House/St Cecilia's: StC-108 Kilmarnock st,Multifamily Housing,108 Kilmarnock Street,Boston,Suffolk,MA,2115,,,80731,,1995,2014,71,67.8,,,,,,390.4,48.53,,504281010
MEEI -Longwood,Ambulatory Surgical Center,800 Huntington Ave,Boston,Suffolk,MA,2115,,,76300,,2012,2014,,173.1,,,,,,969.9,,,1000894000
Merck MRL Boston,Laboratory,33 Avenue Louis PAsteur,Boston,Suffolk,MA,2115,,,626593,,2004,2014,,394,,,,,,12396.8,30.23,,
Mesick Hall,College/University,291 Brookline Avenue,Boston,Suffolk,MA,2115,,,25900,,1961,2014,,101.3,,,,,,166.6,33,,402020000
Morse Hall,College/University,275 Brookline Avenue,Boston,Suffolk,MA,2115,,,22000,,1953,2014,,94.1,,,,,,126.1,40.65,,402017000
Morville House: 100 Norway Street,Multifamily Housing,100 Norway Street,Boston,Suffolk,MA,2115,,,152987,,1972,2014,65,75.4,,,,,,743.1,33.37,,401452000
Nora's House LLC,Retail Store,1106 Commonwealth Ave,Boston,Suffolk,MA,2115,,,71756,,1928,2014,,17.5,,,,,,121.2,38.79,,205722706
"North Building, Boston Symphony Orchestra",,2-6 Westland Avenue,Boston,Suffolk,MA,2115,,,,,1947,2014,,50.2,,,,,,14.9,,,
North Hall,College/University,86 Pilgrim Road,Boston,Suffolk,MA,2115,,,26000,,1907,2014,,105.1,,,,,,176.9,34.71,,402012000
Northeastern University Big Campus,College/University,360 Huntington Avenue,Boston,Suffolk,MA,2115,,,4699442,,1956,2014,,152.6,,,,,,48581.7,28.25,,
Norway Housing: 99-103 Norway Street,Multifamily Housing,99-103 Norway Street,Boston,Suffolk,MA,2115,,,45570,,1978,2014,44,87.2,,,,,,291.4,62.3,,401410000
On The Fens Condominium,,70-74 The Fenway,Boston,Suffolk,MA,2115,,,,,1981,2014,,,,,,,,91.1,,,401719000
One Palace Road,Parking,1 Palace Road,Boston,Suffolk,MA,2115,,,147840,,2002,2014,,172.2,,,,,,795.2,11.25,,401842000
Park Science Center,College/University,300 The Fenway,Boston,Suffolk,MA,2115,,,103200,,1972,2014,,116.2,,,,,,809.2,35.21,,401842000
PHS-BWH Main Campus,Hospital (General Medical & Surgical),75 Francis Street,Boston,Suffolk,MA,2115,,,2138279,,1910,2014,27,321.1,,,,,,47893.7,26.67,,401896000
PHS-BWH-ServiCenter Garage,Parking,"500 Brookline Avenue, or",Boston,Suffolk,MA,2115,,,252077,,1970,2014,,220.3,,,,,,1080.3,1.21,,1000240000
"Residences at Copley Place, The",Multifamily Housing,16 Harcourt Street,Boston,Suffolk,MA,2115,,,157450,,1900,2014,100,13.1,,,,,,199.4,301.16,,400985010
Riverway Condominium,Other - Lodging/Residential,378-386 Riverway,Boston,Suffolk,MA,2115,,,52308,,1985,2014,,71.3,,,,,,227.1,,,1000308000
"Rubenstein,Burstein Campus",College/University,454-458-460 Huntington Avenue,Boston,Suffolk,MA,2115,,,81306,,1926,2014,,63.2,,,,,,320.2,33.59,,
Saint Botolph,Multifamily Housing,150 Saint Botolph Street,Boston,Suffolk,MA,2115,,,102004,,1920,2014,44,86,,,,,,558.2,15.85,,402385000
School Of Management and Academic Building,Parking,300R The Fenway,Boston,Suffolk,MA,2115,,,313500,,2009,2014,,258.2,,,,,,1434.7,5.06,,401842000
Shapiro Cardiovascular Center,Hospital (General Medical & Surgical),70 Francis Street,Boston,Suffolk,MA,2115,,,435000,,2008,2014,2,380.6,,,,,,12833.5,69.66,,1000247010
Simmons Hall,College/University,255 Brookline Avenue,Boston,Suffolk,MA,2115,,,34400,,1956,2014,,95.3,,,,,,201.1,31.4,,402017000
Smith Hall,College/University,54 Pilgrim Road,Boston,Suffolk,MA,2115,,,32400,,1964,2014,,115.5,,,,,,252.8,30.78,,402015000
Sophine LPS,Multifamily Housing,150 Huntington Avenue,Boston,Suffolk,MA,2115,,,313281,,1980,2014,7,104.2,,,,,,2192.2,,,400864000
South Hall,College/University,321 Brookline Avenue,Boston,Suffolk,MA,2115,,,26100,,1905,2014,,101.4,,,,,,168.1,47.24,,402012000
St. Ann Hall,Residence Hall/Dormitory,410 The Fenway,Boston,Suffolk,MA,2115,,,49803,,1962,2014,76,75.4,,,,,,248.8,31.83,,401847000
St. Joseph Hall,Residence Hall/Dormitory,430 The Fenway,Boston,Suffolk,MA,2115,,,94450,,1966,2014,85,54,,,,,,361.1,38.81,,401847000
Susan Bailis Assisted Living,Senior Care Community,352 Mass ave,Boston,Suffolk,MA,2115,,,59999,,2003,2014,,,,,,,,,63.97,,402350010
Symphony Court Condo,Multifamily Housing,41 Westland Ave,Boston,Suffolk,MA,2115,,,72000,,1960,2014,100,26.3,,,,,,143.2,10.39,,401482000
Symphony East: 334 Massachusetts Ave,Multifamily Housing,334 Massachusetts Ave,Boston,Suffolk,MA,2115,,,154105,,1978,2014,58,64.1,,,,,,727,39.03,,402295000
"Symphony Hall Service,      Boston Symphony Orchestra",,249 Massachusetts Ave,Boston,Suffolk,MA,2115,,,,,1900,2014,,,,,,,,325839.9,7.36,,
Symphony West: 333 Massachusetts Ave,Multifamily Housing,333 Massachusetts Ave,Boston,Suffolk,MA,2115,,,174779,,1978,2014,48,73.7,,,,,,913.4,39.96,,402277000
