Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Address of Record,DC Real Property ID,Owner of Record,PM Parent Property ID,PM Property ID,Parent Property Name,Ward,X-Coordinate (ESRI),Y-Coordinate (ESRI)
The Statesman,Multifamily Housing,2020 F St. NW,Washington,District of Columbia,DC,20006,,,179475,260159,1961,2013,,53.1,95.9,53.7,96.6,,,1100.8,24.54768046,2020 F ST NW,1040835,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,,3993727,,2,396003.7248,136556.8146
Letterman House,Multifamily Housing,"2030 F Street, NW",Washington,District of Columbia,DC,20006,,,61824,71400,1960,2013,,93,171.1,93.8,171.9,,,537,64.02661064,2030 F ST NW,1042025,LETTERMAN HOUSE CONDO,,3485321,,2,,
1899 Pennsylvania Avenue,Office,1899 Pennsylvania ave. N.W.,Washington,District of Columbia,DC,20006,,,195338,205741,1915,2013,83,56.6,172.5,56.6,172.5,,,1437,12.23577216,1899 PENNSYLVANIA AV,1050843,1899 PENN OWNER LP,,2451324,,2,396268.4841,136958.8045
CTTWB,Office,1875 Pennsylvania Avenue,Washington,District of Columbia,DC,20006,,,311730,354331,2005,2013,90,46.8,146.9,46.8,146.9,,,2098.9,10.28981376,1815-1821 PENNSYLVANIA AV,1050844,CTTWB ASSOCIATES LP,,2236387,,2,396317.3368,136959.0405
1801 Pennsylvania Ave.,Office,1801 Pennsylvania Ave.,Washington,District of Columbia,DC,20006,,,276842,214997,1991,2013,60,78.7,245.7,78.7,245.7,,,2132.2,14.77834574,1801 PENNSYLVANIA AV,1050845,1801 PENNSYLVANIA AVENUE LLC,,1331462,,2,396356.9854,136965.4126
1800 K Street,Office,"1800 K Street, NW",Washington,District of Columbia,DC,20006,,,242109,911059,1969,2013,100,13.5,42.4,13.5,42.4,,,1557,5.954060055,1800 K ST NW,1060048,"RAR2-1800 K ST NW -DC,INC",,1419693,,2,396351.3094,137137.8372
International Square,Office,"1875 Eye Street, NW",Washington,District of Columbia,DC,20006,,,1185122,1177174,1978,2013,85,54.2,170.3,54.2,170.3,,,8546.6,15.4726489,1835 I ST NW,1060049,CARR CRHP PROPERTIES LLC,,16591,,2,396308.4849,137116.0439
1828 L Street Associates,Office,"1828 L Street Street, NW",Washington,District of Columbia,DC,20036,,,439521,332928,1965,2013,83,74,196.7,74.3,197,,,2701.7,17.83238418,1828 L ST NW,1070074,1828 L STREET ASSOCIATES LLC,,1431261,,2,396277.1379,137285.501
Blenheim DC I LLC,Office,"1801 K Street, NW",Washington,District of Columbia,DC,20006,,,818524,612504,1971,2013,82,49.7,156,49.7,156,,,3852.7,11.72449486,1801 K ST,1070075,BLENHEIM DC LLC,,1159361,,2,396340.2316,137258.6282
1875 K,Office,"1875 K Street, NW",Washington,District of Columbia,DC,20006,,,267097,211617,2002,2013,79,57.9,181.9,57.9,181.9,,,1552.7,11.10024242,1845 K ST,1070077,333 MARKET EXCHANGE TWO LLC AND 123 MA EXCHANGE ONE LLC,,1396919,,2,396266.7883,137234.4213
National Center for Higher Education,Office,"1 Dupont Circle, NW",Washington,District of Columbia,DC,20036,,,302468,232957,1969,2013,,131.3,351.3,131.4,351.4,,,3546,27.00369596,0001 DUPONT CIR NW,1140816,AMERICAN COUNCIL ON EDUCATION,,2930341,,2,396146.4945,137917.8426
1300 19th St NW,Office,1300 19th St NW,Washington,District of Columbia,DC,20037,,,132359,133338,1978,2013,82,60.1,188.7,60.1,188.7,,,1014.7,11.54134605,1300 - 1909 19TH ST NW,1150084,N19 ASSOCIATES LLC,,1997814,,2,396181.4249,137734.9112
1333 New Hampshire Ave.,Office,"1333 New Hampshire Ave., NW",Washington,District of Columbia,DC,20036,,,357983,325215,1978,2013,79,66.9,210.1,66.9,210.1,,,2755.6,28.57125286,1333 NEW HAMPSHIRE AV NW,1150085,BP 1333 NEW HAMPSHIRE AVE LLC,,2285518,,2,396176.4676,137843.1037
1919 M Street,Office,"1919 M Street, NW",Washington,District of Columbia,DC,20036,,,297005,269071,1967,2013,68,63.3,198.6,63.3,198.6,,,2155.3,14.2965983,1919 M ST NW,1160073,1919 M STREET ASSOCIATES,,25204,,2,396143.5801,137584.1263
